,slokas_no,slokas,slokas(no number),slokas_english
0,1.0,अर्जुन उवाचएवं सततयुक्ता ये भक्तास्त्वां पर्युपासते ।ये चाप्यक्षरमव्यक्तं तेषां के योगवित्तमा: ॥ १ ॥,"Arjuna said: Those devotees who are thus constantly engaged in worshiping You, who are also the most unmanifest of the unmanifest, who are the best in yoga?  ॥","Arjuna said: Those devotees who are thus constantly engaged in worshiping You, who are also the most unmanifest of the unmanifest, who are the best in yoga? 1 ॥"
1,2.0,श्रीभगवानुवाचमय्यावेश्य मनो ये मां नित्ययुक्ता उपासते ।श्रद्धया परयोपेतास्ते मे युक्ततमा मता: ॥ २ ॥,"The Supreme Personality of Godhead said: Those who are ever engaged in steadfastness and worship Me with faith in Me, who are steadfast in the Supreme Personality of Godhead.  ॥","The Supreme Personality of Godhead said: Those who are ever engaged in steadfastness and worship Me with faith in Me, who are steadfast in the Supreme Personality of Godhead. 2 ॥"
2,3.0,ये त्वक्षरमनिर्देश्यमव्यक्तं पर्युपासते ।सर्वत्रगमचिन्त्यं च कूटस्थमचलं ध्रुवम् ॥ ३ ॥,"Those who worship the imperishable indescribable and unmanifest, unchanging, unchanging and unchanging are certainly unchanging.","Those who worship the imperishable indescribable and unmanifest, unchanging, unchanging and unchanging are certainly unchanging. Those who are equally conscious of all the senses and who are engaged in the welfare of all beings attain to the symptoms of the senses 4."
3,4.0,सन्नियम्येन्द्रियग्रामं सर्वत्र समबुद्धय: ।ते प्राप्‍नुवन्ति मामेव सर्वभूतहिते रता: ॥ ४ ॥,Those who are equally conscious of all the senses and who are engaged in the welfare of all beings attain to the symptoms of the senses,
4,5.0,क्ल‍ेशोऽधिकतरस्तेषामव्यक्तासक्तचेतसाम् ।अव्यक्ता हि गतिर्दु:खं देहवद्भ‍िरवाप्यते ॥ ५ ॥,"For those whose minds are attached to the unmanifest and whose minds are unmanifest, the destination of the body is like the body.  ॥","For those whose minds are attached to the unmanifest and whose minds are unmanifest, the destination of the body is like the body. 5 ॥"
5,6.0,ये तु सर्वाणि कर्माणि मयि सन्न्यस्य मत्परा: ।अनन्येनैव योगेन मां ध्यायन्त उपासते ॥ ६ ॥,Those who have renounced all my activities in Me and are devoted to Me and worship Me by meditating on Me without any other means of yoga.,"Those who have renounced all my activities in Me and are devoted to Me and worship Me by meditating on Me without any other means of yoga. 6 I shall rescue them from the ocean of death and this world of death and I shall soon become long, O son of those who are fixed in Me. 7 ॥"
6,7.0,तेषामहं समुद्धर्ता मृत्युसंसारसागरात् ।भवामि न चिरात्पार्थ मय्यावेशितचेतसाम् ॥ ७ ॥,"I shall rescue them from the ocean of death and this world of death and I shall soon become long, O son of those who are fixed in Me.",
7,8.0,मय्येव मन आधत्स्व मयि बुद्धिं निवेशय ।निवसिष्यसि मय्येव अत ऊर्ध्वं न संशय: ॥ ८ ॥,"Concentrate on Me in Me in Me, fix your mind on Me. You will live in Me. In Me alone, there is no doubt that there is no doubt about it.  ॥","Concentrate on Me in Me in Me, fix your mind on Me. You will live in Me. In Me alone, there is no doubt that there is no doubt about it. 8 ॥"
8,9.0,अथ चित्तं समाधातुं न शक्न‍ोषि मयि स्थिरम् ।अभ्यासयोगेन ततो मामिच्छाप्‍तुं धनञ्जय ॥ ९ ॥,"Then, O Arjuna, you cannot fix your mind on Me by the practice of practice. Therefore, O Arjuna, you can attain Me. .","Then, O Arjuna, you cannot fix your mind on Me by the practice of practice. Therefore, O Arjuna, you can attain Me. 9."
9,10.0,अभ्यासेऽप्यसमर्थोऽसि मत्कर्मपरमो भव ।मदर्थमपि कर्माणि कुर्वन्सिद्धिमवाप्स्यसि ॥ १० ॥,You are unable to practice My activities and be devoted to My activities You will attain perfection even for My sake. .,You are unable to practice My activities and be devoted to My activities You will attain perfection even for My sake. 10.
10,11.0,अथैतदप्यशक्तोऽसि कर्तुं मद्योगमाश्रित: ।सर्वकर्मफलत्यागं तत: कुरु यतात्मवान् ॥ ११ ॥,"If you are unable to do this, you should renounce the fruits of all my actions. Therefore, you should renounce all the fruits of my actions. .","If you are unable to do this, you should renounce the fruits of all my actions. Therefore, you should renounce all the fruits of my actions. 11."
11,12.0,श्रेयो हि ज्ञानमभ्यासाज्ज्ञानाद्ध्यानं विशिष्यते ।ध्यानात्कर्मफलत्यागस्त्यागाच्छान्तिरनन्तरम् ॥ १२ ॥,"Knowledge is the best way to practice knowledge and meditation is superior to meditation. From meditation, renunciation of the fruits of action is attained by renunciation.  ॥","Knowledge is the best way to practice knowledge and meditation is superior to meditation. From meditation, renunciation of the fruits of action is attained by renunciation. 12 ॥"
12,13.0,अद्वेष्टा सर्वभूतानां मैत्र: करुण एव च ।निर्ममो निरहङ्कार: समदु:खसुख: क्षमी ॥ १३ ॥,"He is not hated by all living beings, friendly and compassionate.","He is not hated by all living beings, friendly and compassionate. 13 He is always satisfied with the yogi who has controlled his mind and is firmly fixed in his mind and who is devoted to Me 14 ॥"
13,14.0,सन्तुष्ट: सततं योगी यतात्मा दृढनिश्चय: ।मय्यर्पितमनोबुद्धिर्यो मद्भ‍क्त: स मे प्रिय: ॥ १४ ॥,He is always satisfied with the yogi who has controlled his mind and is firmly fixed in his mind and who is devoted to Me,
