,slokas_no,slokas,slokas_english(no numbers),slokas_english
0,1.0,श्रीभगवानुवाचइमं विवस्वते योगं प्रोक्तवानहमव्ययम् ।विवस्वान्मनवे प्राह मनुरिक्ष्वाकवेऽब्रवीत् ॥ १ ॥,"The Supreme Personality of Godhead said: “O Vivasvān, the Supreme Personality of Godhead, Vivasvān, described this to Vivasvānī, the son of Vivasvān, and Manu spoke to him in the Manus.   ","The Supreme Personality of Godhead said: “O Vivasvān, the Supreme Personality of Godhead, Vivasvān, described this to Vivasvānī, the son of Vivasvān, and Manu spoke to him in the Manus. 1  "
1,2.0,एवं परम्पराप्राप्तमिमं राजर्षयो विदुः ।स कालेनेह महता योगे नष्टः परन्तप ॥ २ ॥,O scorcher of enemies the sages of this world recognized this in a great manner in this world   ,O scorcher of enemies the sages of this world recognized this in a great manner in this world 2  
2,3.0,स एवायं मया तेऽद्य योगः प्रोक्तः पुरातनः ।भक्तोऽसि मे सखा चेति रहस्यं ह्येतदुत्तमम् ॥ ३ ॥,I have now described to you the ancient mystery of mystic yoga today is the best mystery that you are my devotee and my friend   ,I have now described to you the ancient mystery of mystic yoga today is the best mystery that you are my devotee and my friend 3  
3,4.0,अर्जुन उवाचअपरं भवतो जन्म परं जन्म विवस्वतः ।कथमेतद्विजानीयां त्वमादौ प्रोक्तवानिति ॥ ४ ॥,"Arjuna said: You are the next birth, the next birth, the next birth. .","Arjuna said: You are the next birth, the next birth, the next birth. 4."
4,5.0,श्रीभगवानुवाचबहूनि मे व्यतीतानि जन्मानि तव चार्जुन ।तान्यहं वेद सर्वाणि न त्वं वेत्थ परन्तप ॥ ५ ॥,"The Supreme Personality of Godhead said: O Arjuna, I know all of them for many births of Me. You know all of them, O scorcher of enemies.   ","The Supreme Personality of Godhead said: O Arjuna, I know all of them for many births of Me. You know all of them, O scorcher of enemies. 5  "
5,6.0,अजोऽपि सन्नव्ययात्मा भूतानामीश्वरोऽपि सन् ।प्रकृतिं स्वामधिष्ठाय सम्भवाम्यात्ममायया ॥ ६ ॥,"I am unborn and inexhaustible and the Supreme Lord of all living beings, and I am able to control my own nature by my own illusory energy.   ","I am unborn and inexhaustible and the Supreme Lord of all living beings, and I am able to control my own nature by my own illusory energy. 6  "
6,7.0,यदा यदा हि धर्मस्य ग्लानिर्भवति भारत ।अभ्युत्थानमधर्मस्य तदात्मानं सृजाम्यहम् ॥ ७ ॥,"O descendant of Bharata whenever there is a decline of religious principles, I shall create myself in that state of irreligion.   ","O descendant of Bharata whenever there is a decline of religious principles, I shall create myself in that state of irreligion. 7  "
7,8.0,परित्राणाय साधुनां विनाशाय च दुष्कृताम् ।धर्मसंस्थानार्थाय सम्भवामि युगे युगे ॥ ८ ॥,I am able to save the saintly persons for the destruction of the wicked and for the sake of establishing religious principles in every age   ,I am able to save the saintly persons for the destruction of the wicked and for the sake of establishing religious principles in every age 8  
8,9.0,जन्म कर्म च मे दिव्यमेवं यो वेत्ति तत्त्वतः ।त्यक्त्वा देहं पुनर्जन्म नैति मामेति सोऽर्जुन ॥ ९ ॥,"O Arjuna, who in fact, O Arjuna, who in fact, having given up my body in the truth, is not born again, my birth and my activities are not born again. .","O Arjuna, who in fact, O Arjuna, who in fact, having given up my body in the truth, is not born again, my birth and my activities are not born again. 9."
9,10.0,वीतरागभयक्रोधा मन्मया मामुपाश्रिताः ।बहवो ज्ञानतपसा पूता मद्भ‍ावमागताः ॥ १० ॥,"Without passion, fear and anger I have taken refuge in Me, and I have attained Me, purified by the austerities of knowledge, and have come to Me. .","Without passion, fear and anger I have taken refuge in Me, and I have attained Me, purified by the austerities of knowledge, and have come to Me. 10."
10,11.0,ये यथा मां प्रपद्यन्ते तांस्तथैव भजाम्यहम् ।मम वर्त्मानुवर्तन्ते मनुष्याः पार्थ सर्वशः ॥ ११ ॥,"O son of Pṛthā, in every way I reward them in the same way that those who take refuge in Me, O son of Pṛthā, follow Me in every way. .","O son of Pṛthā, in every way I reward them in the same way that those who take refuge in Me, O son of Pṛthā, follow Me in every way. 11."
11,12.0,काङ्क्षन्तः कर्मणां सिद्धिं यजन्त इह देवता ।क्षिप्रं हि मानुषे लोके सिद्धिर्भवति कर्मजा ॥ १२ ॥,Those who desire the perfection of their actions in this world are immediately born in this world of human beings   ,Those who desire the perfection of their actions in this world are immediately born in this world of human beings 12  
12,13.0,चातुर्वर्ण्यं मया सृष्टं गुणकर्मविभागशः ।तस्य कर्तारमपि मां विद्ध्यकर्तारमव्ययम् ॥ १३ ॥,I have created the four varṇas by the divisions of the modes of nature and actions and know Me as the doer of the universe.   ,I have created the four varṇas by the divisions of the modes of nature and actions and know Me as the doer of the universe. 13  
13,14.0,न मां कर्माणि लिम्पन्ति न मे कर्मफले स्पृहा ।इति मां योऽभिजानाति कर्मभिर्न स बध्यते ॥ १४ ॥,"I am not tainted by Me, nor do I desire the fruits of my actions.   ","I am not tainted by Me, nor do I desire the fruits of my actions. 14  "
14,15.0,एवं ज्ञात्वा कृतं कर्म पूर्वैरपि मुमुक्षुभिः ।कुरु कर्मैव तस्मात्त्वं पूर्वैः पूर्वतरं कृतम् ॥ १५ ॥,"Knowing this, even the ancients who seek liberation have performed the same rituals.   ","Knowing this, even the ancients who seek liberation have performed the same rituals. 15  "
15,16.0,किं कर्म किमकर्मेति कवयोऽप्यत्र मोहिताः ।तत्ते कर्म प्रवक्ष्यामि यज्ज्ञात्वा मोक्ष्यसेऽश‍ुभात् ॥ १६ ॥,Even the poets who are deluded in this world are deluded by the fact that you will be freed from the unemployed by knowing this action   ,Even the poets who are deluded in this world are deluded by the fact that you will be freed from the unemployed by knowing this action 16  
16,17.0,कर्मणो ह्यपि बोद्धव्यं बोद्धव्यं च विकर्मणः ।अकर्मणश्च बोद्धव्यं गहना कर्मणो गतिः ॥ १७ ॥,It should also be understood that action is to be understood as inaction and inaction is the destination of action. .,It should also be understood that action is to be understood as inaction and inaction is the destination of action. 17.
