,slokas_no,slokas,slokas(no number),slokas_english
0,1.0,श्रीभगवानुवाचअभयं सत्त्वसंश‍ुद्धिर्ज्ञानयोगव्यवस्थिति: ।दानं दमश्च यज्ञश्च स्वाध्यायस्तप आर्जवम् ॥ १ ॥,"The Supreme Personality of Godhead said: Instruction of the modes of goodness, knowledge, knowledge, yoga, charity, sacrifice, self-study, austerity and simplicity.","The Supreme Personality of Godhead said: Instruction of the modes of goodness, knowledge, knowledge, yoga, charity, sacrifice, self-study, austerity and simplicity. 1. Non-violence, truthfulness, anger, renunciation, peacefulness, compassion for all living entities. O descendant of Bharata (Rama), O descendant of Bharata, the effulgence, forgiveness, patience, purity, purity, betrayal and not exceedingly prowess. 3 ॥"
1,2.0,अहिंसा सत्यमक्रोधस्त्याग: शान्तिरपैश‍ुनम् ।दया भूतेष्वलोलुप्‍त्वं मार्दवं ह्रीरचापलम् ॥ २ ॥,"Non-violence, truthfulness, anger, renunciation, peacefulness, compassion for all living entities.",
2,3.0,तेज: क्षमा धृति: शौचमद्रोहो नातिमानिता ।भवन्ति सम्पदं दैवीमभिजातस्य भारत ॥ ३ ॥,"O descendant of Bharata (Rama), O descendant of Bharata, the effulgence, forgiveness, patience, purity, purity, betrayal and not exceedingly prowess.",
3,4.0,दम्भो दर्पोऽभिमानश्च क्रोध: पारुष्यमेव च ।अज्ञानं चाभिजातस्य पार्थ सम्पदमासुरीम् ॥ ४ ॥,"O son of Pṛthā, one who is born of pride, pride, pride, anger and harshness are the same as the opulence of the demon. .","O son of Pṛthā, one who is born of pride, pride, pride, anger and harshness are the same as the opulence of the demon. 4."
4,5.0,दैवी सम्पद्विमोक्षाय निबन्धायासुरी मता ।मा श‍ुच: सम्पदं दैवीमभिजातोऽसि पाण्डव ॥ ५ ॥,"O son of Pāṇḍu, you are considered to be a demoniac for the sake of liberation from all material possessions. Please do not become a demon.  ॥","O son of Pāṇḍu, you are considered to be a demoniac for the sake of liberation from all material possessions. Please do not become a demon. 5 ॥"
5,6.0,द्वौ भूतसर्गौ लोकेऽस्मिन्दैव आसुर एव च ।दैवो विस्तरश: प्रोक्त आसुरं पार्थ मे श‍ृणु ॥ ६ ॥,"O son of Pṛthā, please hear from me in detail, O son of Pṛthā, the two creations of all living entities in this world.  ॥","O son of Pṛthā, please hear from me in detail, O son of Pṛthā, the two creations of all living entities in this world. 6 ॥"
6,7.0,प्रवृत्तिं च निवृत्तिं च जना न विदुरासुरा: ।न शौचं नापि चाचारो न सत्यं तेषु विद्यते ॥ ७ ॥,People do not know the activities of the demons in their instincts nor purity nor purity nor purity  ॥,People do not know the activities of the demons in their instincts nor purity nor purity nor purity 7 ॥
7,8.0,असत्यमप्रतिष्ठं ते जगदाहुरनीश्वरम् ।अपरस्परसम्भूतं किमन्यत्कामहैतुकम् ॥ ८ ॥,"They say that the universe is untrue and unrealistic, and that the universe is the source of all things, what else is the cause of desire?  ॥","They say that the universe is untrue and unrealistic, and that the universe is the source of all things, what else is the cause of desire? 8 ॥"
8,9.0,एतां दृष्टिमवष्टभ्य नष्टात्मानोऽल्पबुद्धय: ।प्रभवन्त्युग्रकर्माण: क्षयाय जगतोऽहिता: ॥ ९ ॥,"Having lost their minds, they lost their minds, and they were very conscious of their fierce activities. They were very fiercely declining to destroy the entire universe. .","Having lost their minds, they lost their minds, and they were very conscious of their fierce activities. They were very fiercely declining to destroy the entire universe. 9."
9,10.0,काममाश्रित्य दुष्पूरं दम्भमानमदान्विता: ।मोहाद्‍गृहीत्वासद्‍ग्राहान्प्रवर्तन्तेऽश‍ुचिव्रता: ॥ १० ॥,Those who are unclean and who are unclean in the vows of unclean vows take refuge in those who are in a state of arrogance and who are not arrogant and who are incorporated from delusion. .,Those who are unclean and who are unclean in the vows of unclean vows take refuge in those who are in a state of arrogance and who are not arrogant and who are incorporated from delusion. 10.
