,slokas_no,slokas,slokas(no number),slokas_english
0,1.0,सन्न्यासस्य महाबाहो तत्त्वमिच्छामि वेदितुम् ।त्यागस्य च हृषीकेश पृथक्केशिनिषूदन ॥ १ ॥,"O mighty-armed one, O Lord of the senses, I wish to know the truth of renunciation, O Lord of the senses, O Lord of the senses separately.  ॥","O mighty-armed one, O Lord of the senses, I wish to know the truth of renunciation, O Lord of the senses, O Lord of the senses separately. 1 ॥"
1,2.0,काम्यानां कर्मणां न्यासं सन्न्यासं कवयो विदु: ।सर्वकर्मफलत्यागं प्राहुस्त्यागं विचक्षणा: ॥ २ ॥,The learned men describe the renunciation of all the fruits of all activities and renounce the fruits of all living entities.  ॥,The learned men describe the renunciation of all the fruits of all activities and renounce the fruits of all living entities. 2 ॥
2,3.0,त्याज्यं दोषवदित्येके कर्म प्राहुर्मनीषिण: ।यज्ञदानतप:कर्म न त्याज्यमिति चापरे ॥ ३ ॥,"Some learned men say that one should give up such a defect. Others say that one should perform sacrifices, charity and austerities.  ॥","Some learned men say that one should give up such a defect. Others say that one should perform sacrifices, charity and austerities. 3 ॥"
3,4.0,निश्चयं श‍ृणु मे तत्र त्यागे भरतसत्तम ।त्यागो हि पुरुषव्याघ्र त्रिविध: सम्प्रकीर्तित: ॥ ४ ॥,"O best of men, O best of men, I have now described to you in three ways, O best of men. .","O best of men, O best of men, I have now described to you in three ways, O best of men. 4."
4,5.0,यज्ञदानतप:कर्म न त्याज्यं कार्यमेव तत् ।यज्ञो दानं तपश्चैव पावनानि मनीषिणाम् ॥ ५ ॥,"Sacrifices, charity and austerities are not to be performed for the wise men who perform sacrifices, charity and austerities.  ॥","Sacrifices, charity and austerities are not to be performed for the wise men who perform sacrifices, charity and austerities. 5 ॥"
5,6.0,एतान्यपि तु कर्माणि सङ्गं त्यक्त्वा फलानि च ।कर्तव्यानीति मे पार्थ निश्चितं मतमुत्तमम् ॥ ६ ॥,"O son of Partha, I have certainly considered this to be the best of these activities, O Arjuna, for they have abandoned their attachment and their fruits.  ॥","O son of Partha, I have certainly considered this to be the best of these activities, O Arjuna, for they have abandoned their attachment and their fruits. 6 ॥"
6,7.0,नियतस्य तु सन्न्यास: कर्मणो नोपपद्यते ।मोहात्तस्य परित्यागस्तामस: परिकीर्तित: ॥ ७ ॥,"When one is deluded by delusion, one should renounce the renunciation of the activities of the Supreme Personality of Godhead.  ॥","When one is deluded by delusion, one should renounce the renunciation of the activities of the Supreme Personality of Godhead. 7 ॥"
7,8.0,दु:खमित्येव यत्कर्म कायक्ल‍ेशभयात्त्यजेत् ।स कृत्वा राजसं त्यागं नैव त्यागफलं लभेत् ॥ ८ ॥,"One who gives up the fear of the body of the body is the same as suffering, and he who performs the Rajasic renunciation will not attain the fruits of renunciation.  ॥","One who gives up the fear of the body of the body is the same as suffering, and he who performs the Rajasic renunciation will not attain the fruits of renunciation. 8 ॥"
8,9.0,कार्यमित्येव यत्कर्म नियतं क्रियतेऽर्जुन ।सङ्गं त्यक्त्वा फलं चैव स त्याग: सात्त्विको मत: ॥ ९ ॥,"O Arjuna, whatever action is performed as a duty is considered to be the mode of goodness, and renunciation of attachment is considered to be Sattvic. .","O Arjuna, whatever action is performed as a duty is considered to be the mode of goodness, and renunciation of attachment is considered to be Sattvic. 9."
9,10.0,न द्वेष्ट्यकुशलं कर्म कुशले नानुषज्ज‍ते ।त्यागी सत्त्वसमाविष्टो मेधावी छिन्नसंशय: ॥ १० ॥,A person who is intelligent and who is endowed with the modes of goodness is not hated by the skilled persons nor does he have a good act of renunciation. .,A person who is intelligent and who is endowed with the modes of goodness is not hated by the skilled persons nor does he have a good act of renunciation. 10.
10,11.0,न हि देहभृता शक्यं त्यक्तुं कर्माण्यशेषत: ।यस्तु कर्मफलत्यागी स त्यागीत्यभिधीयते ॥ ११ ॥,It is not possible to give up the fruits of their actions in the entire world as a renunciant of the living entities. .,It is not possible to give up the fruits of their actions in the entire world as a renunciant of the living entities. 11.
11,12.0,अनिष्टमिष्टं मिश्रं च त्रिविधं कर्मण: फलम् ।भवत्यत्यागिनां प्रेत्य न तु सन्न्यासिनां क्‍वचित् ॥ १२ ॥,"There are three kinds of fruits of action, which are undesirable, undesirable, mixed with the renunciants of the renunciants, but never for the renounced.  ॥","There are three kinds of fruits of action, which are undesirable, undesirable, mixed with the renunciants of the renunciants, but never for the renounced. 12 ॥"
12,13.0,पञ्चैतानि महाबाहो कारणानि निबोध मे ।सांख्ये कृतान्ते प्रोक्तानि सिद्धये सर्वकर्मणाम् ॥ १३ ॥,"O mighty-armed one, please hear from me the five kinds of reasons for the perfection of all actions.  ॥","O mighty-armed one, please hear from me the five kinds of reasons for the perfection of all actions. 13 ॥"
13,14.0,अधिष्ठानं तथा कर्ता करणं च पृथग्विधम् ।विविधाश्च पृथक्‍चेष्टा दैवं चैवात्र पञ्चमम् ॥ १४ ॥,"The fifth is the position of the adhiṣṭhāna, the doer, the karana, the various types, the various movements, the destiny and the destiny.  ॥","The fifth is the position of the adhiṣṭhāna, the doer, the karana, the various types, the various movements, the destiny and the destiny. 14 ॥"
14,15.0,शरीरवाङ्‍मनोभिर्यत्कर्म प्रारभते नर: ।न्याय्यं वा विपरीतं वा पञ्चैते तस्य हेतव: ॥ १५ ॥,"The five causes of the body, speech, mind, mind, mind, mind and other activities are justified or reversed.  ॥","The five causes of the body, speech, mind, mind, mind, mind and other activities are justified or reversed. 15 ॥"
15,16.0,तत्रैवं सति कर्तारमात्मानं केवलं तु य: ।पश्यत्यकृतबुद्धित्वान्न स पश्यति दुर्मति: ॥ १६ ॥,"In this way, a person who sees himself in the state of self-realization does not see himself as a person who does not see himself in a state of ignorance.  ॥","In this way, a person who sees himself in the state of self-realization does not see himself as a person who does not see himself in a state of ignorance. 16 ॥"
16,17.0,यस्य नाहंकृतो भावो बुद्धिर्यस्य न लिप्यते ।हत्वापि स इमाँल्ल‍ोकान्न हन्ति न निबध्यते ॥ १७ ॥,A person who has no egoism and whose intelligence is not tainted by his intelligence does not kill these people nor does he kill these people. .,A person who has no egoism and whose intelligence is not tainted by his intelligence does not kill these people nor does he kill these people. 17.
17,18.0,ज्ञानं ज्ञेयं परिज्ञाता त्रिविधा कर्मचोदना ।करणं कर्म कर्तेति त्रिविध: कर्मसङ्‍ग्रह: ॥ १८ ॥,"There are three kinds of knowledge, namely knowledge, the knowledge of the senses, the threefold activities of the senses, the senses, the senses, the senses, the senses and the senses.  ॥","There are three kinds of knowledge, namely knowledge, the knowledge of the senses, the threefold activities of the senses, the senses, the senses, the senses, the senses and the senses. 18 ॥"
18,19.0,ज्ञानं कर्म च कर्ता च त्रिधैव गुणभेदत: ।प्रोच्यते गुणसंख्याने यथावच्छृणु तान्यपि ॥ १९ ॥,"In the number of modes of nature, knowledge, action and the doer are described in the three modes of nature. .","In the number of modes of nature, knowledge, action and the doer are described in the three modes of nature. 19."
19,20.0,सर्वभूतेषु येनैकं भावमव्ययमीक्षते ।अविभक्तं विभक्तेषु तज्ज्ञानं विद्धि सात्त्विकम् ॥ २० ॥,Know that knowledge is the mode of goodness in the undivided and the undivided in all living entities.  ॥,Know that knowledge is the mode of goodness in the undivided and the undivided in all living entities. 20 ॥
20,21.0,पृथक्त्वेन तु यज्ज्ञानं नानाभावान्पृथग्विधान् ।वेत्ति सर्वेषु भूतेषु तज्ज्ञानं विद्धि राजसम् ॥ २१ ॥,"Knowing that knowledge is separate from the various elements of knowledge and which is separate from the various elements, know that knowledge of all living entities is Rajasic.  ॥","Knowing that knowledge is separate from the various elements of knowledge and which is separate from the various elements, know that knowledge of all living entities is Rajasic. 21 ॥"
