,slokas_no,slokas,slokas_english(no numbers),slokas_english
0,1.0,अर्जुन उवाचज्यायसी चेत्कर्मणस्ते मता बुद्धिर्जनार्दन ।तत्किं कर्मणि घोरे मां नियोजयसि केशव ॥ १ ॥,"Arjuna said: O son of Janārdana, if you think of your actions, O son of January, why do you engage me in this terrible act?   ","Arjuna said: O son of Janārdana, if you think of your actions, O son of January, why do you engage me in this terrible act? 1  "
1,2.0,व्यामिश्रेणेव वाक्येन बुद्धिं मोहयसीव मे ।तदेकं वद निश्चित्य येन श्रेयोऽहमाप्‍नुयाम् ॥ २ ॥,You seem to be confused by my words with your confused words. Please tell me one thing that I shall attain to the welfare of all.   ,You seem to be confused by my words with your confused words. Please tell me one thing that I shall attain to the welfare of all. 2  
2,3.0,श्रीभगवानुवाचलोकेऽस्मिन्द्विविधा निष्ठा पुरा प्रोक्ता मयानघ ।ज्ञानयोगेन सांख्यानां कर्मयोगेन योगिनाम् ॥ ३ ॥,"O sinless one, I have already described to you in this world, O sinless one, by the practice of yogīs, by the practice of yogīs.   ","O sinless one, I have already described to you in this world, O sinless one, by the practice of yogīs, by the practice of yogīs. 3  "
3,4.0,न कर्मणामनारम्भान्नैष्कर्म्य पुरुषोऽश्न‍ुते ।न च सन्न्यसनादेव सिद्धिं समधिगच्छति ॥ ४ ॥,"A person who does not undertake his actions does not perform any activity, nor does he attain perfection by renunciation. .","A person who does not undertake his actions does not perform any activity, nor does he attain perfection by renunciation. 4."
4,5.0,न हि कश्चित्क्षणमपि जातु तिष्ठत्यकर्मकृत् ।कार्यते ह्यवशः कर्म सर्वः प्रकृतिजैर्गुणैः ॥ ५ ॥,No one ever remains for a moment and does not perform any activity. Everyone is under the control of all the modes of nature by nature.   ,No one ever remains for a moment and does not perform any activity. Everyone is under the control of all the modes of nature by nature. 5  
5,6.0,कर्मेन्द्रियाणि संयम्य य आस्ते मनसा स्मरन् ।इन्द्रियार्थान्विमूढात्मा मिथ्याचारः स उच्यते ॥ ६ ॥,He who controls the senses of action and reminds us of the senses and remembers the objects of the senses and is deluded by the senses of the senses is called a false conductor.   ,He who controls the senses of action and reminds us of the senses and remembers the objects of the senses and is deluded by the senses of the senses is called a false conductor. 6  
6,7.0,यस्त्विन्द्रियाणि मनसा नियम्यारभतेऽर्जुन ।कर्मेन्द्रियैः कर्मयोगमसक्तः स विशिष्यते ॥ ७ ॥,"O Arjuna, a person who is unattached to the senses of action and the senses of action, who is engaged in controlling the senses by the mind, is superior.   ","O Arjuna, a person who is unattached to the senses of action and the senses of action, who is engaged in controlling the senses by the mind, is superior. 7  "
7,8.0,नियतं कुरु कर्म त्वं कर्म ज्यायो ह्यकर्मणः ।शरीरयात्रापि च ते न प्रसिद्ध्येदकर्मणः ॥ ८ ॥,"You should perform your duty as a fixed action and you are better than inaction. Even if you have a journey of your body, you will not be known for your inaction.   ","You should perform your duty as a fixed action and you are better than inaction. Even if you have a journey of your body, you will not be known for your inaction. 8  "
8,9.0,यज्ञार्थात्कर्मणोऽन्यत्र लोकोऽयं कर्मबन्धनः ।तदर्थं कर्म कौन्तेय मुक्तसङ्गः समाचर ॥ ९ ॥,"O son of Kunti, this world is bound by action for the sake of performing sacrifices, O son of Kunti. .","O son of Kunti, this world is bound by action for the sake of performing sacrifices, O son of Kunti. 9."
9,10.0,सहयज्ञाः प्रजाः सृष्ट्वा पुरोवाच प्रजापतिः ।अनेन प्रसविष्यध्वमेष वोऽस्त्विष्टकामधुक् ॥ १० ॥,Having created the living entities with the sacrifices of the living entities the creator of the universe said to him .,Having created the living entities with the sacrifices of the living entities the creator of the universe said to him 10.
10,11.0,देवान्भावयतातेन ते देवा भावयन्तु वः ।परस्परं भावयन्तः श्रेयः परमवाप्स्यथ ॥ ११ ॥,By thinking of the demigods may those devatas feel you and you will attain the highest good by feeling for each other. .,By thinking of the demigods may those devatas feel you and you will attain the highest good by feeling for each other. 11.
