,slokas_no,slokas,slokas_english(no numbers),slokas_english
0,1.0,श्रीभगवानुवाचअनाश्रित: कर्मफलं कार्यं कर्म करोति य: ।स सन्न्यासी च योगी च न निरग्न‍िर्न चाक्रिय: ॥ १ ॥,"The Supreme Personality of Godhead said: He who performs the fruits of his duties without resorting to the fruits of his activities is neither a yogī nor a yogī, nor is he inactive.   ","The Supreme Personality of Godhead said: He who performs the fruits of his duties without resorting to the fruits of his activities is neither a yogī nor a yogī, nor is he inactive. 1  "
1,2.0,यं सन्न्यासमिति प्राहुर्योगं तं विद्धि पाण्डव ।न ह्यसन्न्यस्तसङ्कल्पो योगी भवति कश्चन ॥ २ ॥,"O son of Pāṇḍu, one should know that the yoga of yoga is that which is called renunciation.   ","O son of Pāṇḍu, one should know that the yoga of yoga is that which is called renunciation. 2  "
2,3.0,आरुरुक्षोर्मुनेर्योगं कर्म कारणमुच्यते ।योगारूढस्यतस्यैव शम: कारणमुच्यते ॥ ३ ॥,"When the sage who desires to ascend to the material world is the cause of his activities, the Supreme Personality of Godhead is the cause of all activities.   ","When the sage who desires to ascend to the material world is the cause of his activities, the Supreme Personality of Godhead is the cause of all activities. 3  "
3,4.0,यदा हि नेन्द्रियार्थेषु न कर्मस्वनुषज्ज‍ते ।सर्वसङ्कल्पसन्न्यासी योगारूढस्तदोच्यते ॥ ४ ॥,"When one does not renounce all his resolve for the objects of his senses, he is not engaged in the objects of his senses. .","When one does not renounce all his resolve for the objects of his senses, he is not engaged in the objects of his senses. 4."
4,5.0,उद्धरेदात्मनात्मानं नात्मानमवसादयेत् ।आत्मैव ह्यात्मनो बन्धुरात्मैव रिपुरात्मन: ॥ ५ ॥,One should not lift oneself up one’s own self and should not despise one’s own self. For oneself is the friend of the self.   ,One should not lift oneself up one’s own self and should not despise one’s own self. For oneself is the friend of the self. 5  
5,6.0,बन्धुरात्मात्मनस्तस्य येनात्मैवात्मना जित: ।अनात्मनस्तु शत्रुत्वे वर्तेतात्मैव शत्रुवत् ॥ ६ ॥,"The self-control of the self is the self-control of the self, and the self is the enemy of the self, just as the self is the enemy of the self.   ","The self-control of the self is the self-control of the self, and the self is the enemy of the self, just as the self is the enemy of the self. 6  "
6,7.0,जितात्मन: प्रशान्तस्य परमात्मा समाहित: ।शीतोष्णसुखदु:खेषु तथा मानापमानयो: ॥ ७ ॥,"The Supreme Personality of Godhead is concentrated on the Supreme Personality of Godhead, who has conquered his soul and is at peace with cold, heat, pleasure and pain.   ","The Supreme Personality of Godhead is concentrated on the Supreme Personality of Godhead, who has conquered his soul and is at peace with cold, heat, pleasure and pain. 7  "
7,8.0,ज्ञानविज्ञानतृप्‍तात्मा कूटस्थो विजितेन्द्रिय: ।युक्त इत्युच्यते योगी समलोष्ट्राश्मकाञ्चन: ॥ ८ ॥,"The yogī, camel, stone and gold is said to be the self-satisfied self, the self-controlled, the self-controlled.   ","The yogī, camel, stone and gold is said to be the self-satisfied self, the self-controlled, the self-controlled. 8  "
8,9.0,सुहृन्मित्रार्युदासीनमध्यस्थद्वेष्यबन्धुषु ।साधुष्वपि च पापेषु समबुद्धिर्विशिष्यते ॥ ९ ॥,"A friend, friend, friend, indifferent persons, enemies, enemies, relatives, even the saintly persons are equally intelligent. .","A friend, friend, friend, indifferent persons, enemies, enemies, relatives, even the saintly persons are equally intelligent. 9."
9,10.0,योगी युञ्जीत सततमात्मानं रहसि स्थित: ।एकाकी यतचित्तात्मा निराशीरपरिग्रह: ॥ १० ॥,The yogī should constantly engage himself in secret and should continue to marry one’s mind and controlled his mind. .,The yogī should constantly engage himself in secret and should continue to marry one’s mind and controlled his mind. 10.
