,Chapter,Verse,Eknath Easwaran,Mahatma Gandhi,Shri Swami Purohit,Google Translator,Easwaran - Google,Gandhi - Google,Purohit - Google
0,3,1,"ARJUNA:  O Krishna, you have said that knowledge is greater than action; why then do you ask me to wage this terrible war? ","  If, O Krishna, you hold that the attitude of detachment is superior to  action, then why, O Krishna, do you urge me to dreadful action?    ","“Arjuna questioned: My Lord! If Wisdom is above action, why do You advise me to engage in this terrible fight? ","Arjuna said: O son of Janārdana, if you think of your actions, O son of January, why do you engage me in this terrible act?   ",0.69258946,0.50268453,0.73066115
1,3,2,Your advice seems inconsistent. Give me one path to follow to the supreme good. ,"  You do seem to confuse my understanding with perplexing speech; tell  me, therefore, in no uncertain voice, that alone whereby I may attain salvation.   The Lord Said:   "," Your language perplexes me and confuses my reason. Therefore please tell me the only way by which I may, without doubt, secure my spiritual welfare. ",You seem to be confused by my words with your confused words. Please tell me one thing that I shall attain to the welfare of all.   ,0.555965,0.5875604,0.63593674
2,3,3,"KRISHNA:  At the beginning of time I declared two paths for the pure heart: jnana yoga, the contemplative path of spiritual wisdom, and karma yoga, the active path of selfless service. ","  I have spoken, before, O sinless one, of two attitudes in this world—the  Sankhayas', that of Jnana yoga and the Yogins', that of karma yoga.   "," Lord Shri Krishna replied: In this world, as I have said, there is a twofold path, O Sinless One! There is the Path of Wisdom for those who meditate, and the Path of Action for those who work. ","O sinless one, I have already described to you in this world, O sinless one, by the practice of yogīs, by the practice of yogīs.   ",0.44533196,0.6683543,0.52079964
3,3,4,One who shirks action does not attain freedom; no one can gain perfection by abstaining from work. ,"  Never does man enjoy freedom from action by not undertaking action, nor  does he attain that freedom by mere renunciation of action.   ", No man can attain freedom from activity by refraining from action; nor can he reach perfection by merely refusing to act. ,"A person who does not undertake his actions does not perform any activity, nor does he attain perfection by renunciation. .",0.7072686,0.684816,0.7902389
4,3,5,"Indeed, there is no one who rests for even an instant; all creatures are driven to action by their own nature. ",  For none ever remains inactive even for a moment; for all are compelled to  action by the gunas inherent in prakriti.   ," He cannot even for a moment remain really inactive, for the Qualities of Nature will compel him to act whether he will or no. ",No one ever remains for a moment and does not perform any activity. Everyone is under the control of all the modes of nature by nature.   ,0.62789696,0.56034493,0.62385046
5,3,6,Those who abstain from action while allowing the mind to dwell on sensual pleasure cannot be called sincere spiritual aspirants. ,"  He who curbs the organs of action but allows the mind to dwell on the  sense-objects,—such a one, wholly deluded, is called a hypocrite.   "," He who remains motionless, refusing to act, but all the while brooding over sensuous object, that deluded soul is simply a hypocrite. ",He who controls the senses of action and reminds us of the senses and remembers the objects of the senses and is deluded by the senses of the senses is called a false conductor.   ,0.36661687,0.60260016,0.430207
6,3,7,"But they excel who control their senses through the mind, using them for selfless service. ","  But he, O Arjuna, who keeping all the senses under control of the mind,  engages the organs in Karma yoga, without attachment—that man excels.   "," But, O Arjuna! All honour to him whose mind controls his senses, for he is thereby beginning to practise Karma-Yoga, the Path of Right Action, keeping himself always unattached. ","O Arjuna, a person who is unattached to the senses of action and the senses of action, who is engaged in controlling the senses by the mind, is superior.   ",0.50249016,0.65704286,0.6392995
7,3,8,"Fulfill all your duties; action is better than inaction. Even to maintain your body, Arjuna, you are obliged to act. ",  Do you your allotted task; for action is superior to inaction; with inaction even  life's normal course is not possible.   ," Do your duty as prescribed, for action for duty’s sake is superior to inaction. Even the maintenance of the body would be impossible if man remained inactive. ","You should perform your duty as a fixed action and you are better than inaction. Even if you have a journey of your body, you will not be known for your inaction.   ",0.7960143,0.7284387,0.84531844
8,3,9,"Selfish action imprisons the world. Act selflessly, without any thought of personal profit. ","  This world of men suffers bondage from all action save that which is done for  the sake of sacrifice; to this end, O Arjuna, perform action without  attachment.   "," In this world people are fettered by action, unless it is performed as a sacrifice. Therefore, O Arjuna, let your acts be done without attachment, as sacrifice only. ","O son of Kunti, this world is bound by action for the sake of performing sacrifices, O son of Kunti. .",0.48980924,0.6949003,0.66918886
9,3,10,"At the beginning, mankind and the obligation of selfless service were created together. Through selfless service, you will always be fruitful and find the fulfillment of your desires: this is the promise of the Creator. ","  Together with sacrifice did the Lord of beings create, of old, mankind,  declaring:  ""By this shall you increase; may this be to you the giver of all your desires.   "," In the beginning, when God created all beings by the sacrifice of Himself, He said unto them: `Through sacrifice you can procreate, and it shall satisfy all your desires. ",Having created the living entities with the sacrifices of the living entities the creator of the universe said to him .,0.47017813,0.6562103,0.6102642
10,3,11,Honor and cherish the devas as they honor and cherish you; through this honor and love you will attain the supreme good. ,"  ""With this may you cherish the gods and may the gods cherish you; thus  cherishing one another may you attain the highest good.   "," Worship the Powers of Nature thereby, and let them nourish you in return; thus supporting each other, you shall attain your highest welfare. ",By thinking of the demigods may those devatas feel you and you will attain the highest good by feeling for each other. .,0.6189269,0.5419814,0.42098987
11,3,12,"All human desires are fulfilled by the devas, who are pleased by selfless service. But anyone who enjoys the things given by the devas without offering selfless acts in return is a thief. ","  ""Cherished with sacrifice, the gods will bestow on you the desired boons.""  He who enjoys their gifts without rendering aught unto them is verily a thief.   "," For, fed, on sacrifice, nature will give you all the enjoyment you can desire. But he who enjoys what she gives without returning is, indeed, a robber.’ ",He who enjoys the pleasures of the demigods will give you the pleasures he desires for those who are devoted to the sacrifice and who enjoys what they have given them   ,0.4864976,0.5437632,0.46999842
12,3,13,"The spiritually minded, who eat in the spirit of service, are freed from all their sins; but the selfish, who prepare food for their own satisfaction, eat sin. ","  The righteous men who eat the residue of the sacrifice are freed from all sin,  but the wicked who cook for themselves eat sin.   ", The sages who enjoy the food that remains after the sacrifice is made are freed from all sin; but the selfish who spread their feast only for themselves feed on sin only. ,Those who eat the remains of the sacrifice are freed from all sins and enjoy the sins of the sinners who cook for their own sake   ,0.7051968,0.91915715,0.83583987
13,3,14,"Living creatures are nourished by food, and food is nourished by rain; rain itself is the water of life, which comes from selfless worship and service. ","  From food springs all life, from rain is born food; from sacrifice comes rain  and sacrifice is the result of action.   "," All creatures are the product of food, food is the product of rain, rain comes by sacrifice, and sacrifice is the noblest form of action. ","From food comes all living entities and from the rain comes food. From the sacrifice, the rain is the source of all activities.   ",0.7817394,0.8268604,0.81654525
14,3,15,"Every selfless act, Arjuna, is born from Brahman, the eternal, infinite Godhead. Brahman is present in every act of service. ",  Know that action springs from Brahman and Brahman from the  Imperishable; hence the all-pervading Brahman is ever firm-founded on  sacrifice.   ," All action originates in the Supreme Spirit, which is Imperishable, and in sacrificial action the all-pervading Spirit is consciously present. ",Know that action is the source of the Absolute Truth and is the source of all knowledge.   ,0.3065163,0.55366266,0.5170049
15,3,16,"All life turns on this law, O Arjuna. Those who violate it, indulging the senses for their own pleasure and ignoring the needs of others, have wasted their life. ","  He who does not follow the wheel thus set in motion here below, he, living  in sin, sating his senses, lives, O Arjuna, in vain.   "," Thus he who does not help the revolving wheel of sacrifice, but instead leads a sinful life, rejoicing in the gratification of his senses, O Arjuna, he breathes in vain. ","O son of Pṛthā, whoever does not follow the wheel in this world in this world, O son of Pṛthā, will live in vain and enjoy the senses.   ",0.54658085,0.7600661,0.5613121
16,3,17,"But those who realize the Self are always satisfied. Having found the source of joy and fulfillment, they no longer seek happiness from the external world. ","  But the man who revels in soul, who is content in soul and who is  satisfied only with soul, for him no action exists.   "," On the other hand, the soul who meditates on the Self is content to serve the Self and rests satisfied within the Self; there remains nothing more for him to accomplish. ",A human being who is satisfied with himself and who is satisfied with himself has no need of his duties .,0.6457578,0.56783456,0.6170864
17,3,18,They have nothing to gain or lose by any action; neither people nor things can affect their security. ,"  He has no interest whatever in anything done, nor in anything not done, nor  has he need to rely on anything for personal ends.    ", He has nothing to gain by the performance or non-performance of action. His welfare depends not on any contribution that an earthly creature can make. ,There is no need for him in this world and no one in all living beings in this world   ,0.07888308,0.41791958,0.46960524
18,3,19,Strive constantly to serve the welfare of the world; by devotion to selfless work one attains the supreme goal of life. ,"  Therefore, do you ever perform without attachment the work that you  must do; for performing action without attachment man attains the Supreme.   "," Therefore do your duty perfectly, without care for the results, for he who does his duty disinterestedly attains the Supreme. ","Therefore, a person who is not attached to it should always perform his duties and perform his duties. .",0.42461678,0.67590404,0.6697934
19,3,20,Do your work with the welfare of others always in mind. It was by such work that Janaka attained perfection; others too have followed this path. ,  For through action alone Janaka and others achieved perfection; even with a  view to the guidance of mankind you must act.   ," King Janaka and others attained perfection through action alone. Even for the sake of enlightening the world, it is your duty to act; ",Janaka and others who have attained perfection by their actions are the only ones who have attained perfection even when they see even the collection of the worlds   ,0.64777136,0.7461993,0.73298407
20,3,21,"What the outstanding person does, others will try to do. The standards such people create will be followed by the whole world. ","  Whatever the best man does, is also done by other men, what example he  sets, the world follows.   "," For whatever a great man does, others imitate. People conform to the standard which he has set. ",Whatever the best person performs is the same as that of others.   ,0.6955232,0.7245152,0.45800292
21,3,22,"There is nothing in the three worlds for me to gain, Arjuna, nor is there anything I do not have; I continue to act, but I am not driven by any need of my own. ","  For me, O Arjuna, there is nothing to do in the three worlds, nothing worth  gaining that I have not gained; yet I am ever in action.   "," There is nothing in this universe, O Arjuna, that I am compelled to do, nor anything for Me to attain; yet I am persistently active. ","I have nothing to do in the three worlds, O son of Pṛthā.   ",0.5437679,0.53742206,0.36747935
22,3,23,"If I ever refrained from continuous work, everyone would immediately follow my example. ","  Indeed, for were I not, unslumbering, ever to remain in action, O Arjuna,  men would follow my example in every way.   "," For were I not to act without ceasing, O prince, people would be glad to do likewise. ","If I am never lazy in my actions, O son of Pṛthā, I am never lazy in my actions, O son of Pṛthā, in every way.   ",0.4663263,0.5787124,0.5043107
23,3,24,"If I stopped working I would be the cause of cosmic chaos, and finally of the destruction of this world and these people. ","  If I were not to perform my task, these worlds would be ruined; I should be  the same cause of chaos and of the end of all mankind.   "," And if I were to refrain from action, the human race would be ruined; I should lead the world to chaos, and destruction would follow. ","If I do not perform any activity of these living entities, I shall destroy these living entities. I shall destroy these living beings.   ",0.34428167,0.51550394,0.46735036
24,3,25,"The ignorant work for their own profit, Arjuna; the wise work for the welfare of the world, without thought for themselves. ","  Just as, with attachment, the unenlightened perform all actions, O Arjuna,  even so, but unattached, should the enlightened man act, with a desire for the  welfare of humanity.   "," As the ignorant act, because of their fondness for action, so should the wise act without such attachment, fixing their eyes, O Arjuna, only on the welfare of the world. ","O descendant of Bharata who are attached to the activities of the Supreme Personality of Godhead, who is not attached to the activities of the demigods, one should perform the rituals of acquiring the planetary activities of the Lord. .",0.29581028,0.4824898,0.44396758
25,3,26,"By abstaining from work you will confuse the ignorant, who are engrossed in their actions. Perform all work carefully, guided by compassion. ","  The enlightened may not confuse the mind of the unenlightened, who are  attached to action; rather must he perform all actions unattached, and thus  encourage them to do likewise.   "," But a wise man should not perturb the minds of the ignorant, who are attached to action; let him perform his own actions in the right spirit, with concentration on Me, thus inspiring all to do the same. ",A learned person should not cause differences in intelligence to those who are ignorant and associated with actions .,0.35236382,0.5189089,0.58529365
26,3,27,"All actions are performed by the gunas of prakriti. Deluded by identification with the ego, a person thinks, I am the doer. ","  All action is entirely done by the gunas of prakriti. Man, deluded by the  sense of ‘I', thinks, ‘I am the doer'.    "," Action is the product of the Qualities inherent in Nature. It is only the ignorant man who, misled by personal egotism, says: `I am the doer.’ ",The modes of nature of the modes of nature performed by the modes of nature performed by the modes of nature are confused by the ego of egoism   ,0.4465021,0.3850296,0.58700335
27,3,28,But the illumined man or woman understands the domain of the gunas and is not attached. Such people know that the gunas interact with each other; they do not claim to be the doer. ,"  But he, O Arjuna, who understands the truth of the various gunas and  their various activities, knows that it is the gunas that operate on the gunas; he  does not claim to be the doer.   "," But he, O Mighty One, who understands correctly the relation of the Qualities to action, is not attached to the act for he perceives that it is merely the action and reaction of the Qualities among themselves. ","O mighty-armed one, the knowledge of the Absolute Truth is not prepared to think that the modes of nature are present in the modes of nature. .",0.40264565,0.40053275,0.485677
