,Chapter,Verse,Eknath Easwaran,Mahatma Gandhi,Shri Swami Purohit,Google Translator,Easwaran - Google,Gandhi - Google,Purohit - Google,total,max sum
12,3,13,"The spiritually minded, who eat in the spirit of service, are freed from all their sins; but the selfish, who prepare food for their own satisfaction, eat sin. ","  The righteous men who eat the residue of the sacrifice are freed from all sin,  but the wicked who cook for themselves eat sin.   ", The sages who enjoy the food that remains after the sacrifice is made are freed from all sin; but the selfish who spread their feast only for themselves feed on sin only. ,Those who eat the remains of the sacrifice are freed from all sins and enjoy the sins of the sinners who cook for their own sake   ,0.7051968,0.91915715,0.83583987,2.4601936,2.4601936
57,5,15,Know that action is the source of the Absolute Truth and is the source of all knowledge.   ," ARJUNA:  O Krishna, you have recommended both the path of selfless action and sannyasa, the path of renunciation of action. Tell me definitely which is better. ","  You laud renunciation of actions, O Krishna, whilst at the same time you  laud performance of action; tell me for a certainty which is the better.  The Lord Said:   ","“Arjuna said: My Lord! At one moment You praise renunciation of action; at another, right action. Tell me truly, I pray, which of these is the more conducive to my highest welfare? ",0.41155803,0.7578639,0.779154,1.948576,1.948576
84,7,13,"  That ascetic is ever free—who, having shut out the outward  sense-contacts, sits with his gaze fixed between the brows, outward and inward  breathing in the nostrils made equal; his senses, mind, and reason held in check;  rid of longing, fear and wrath; and intent on Freedom.  "," Knowing me as Him who gladly receives all offerings of austerity and sacrifice, as the Might Ruler of all the Worlds and the Friend of all beings, he passes to Eternal Peace.” "," KRISHNA:  With your mind intent on me, Arjuna, discipline yourself with the practice of yoga. Depend on me completely. Listen, and I will dispel all your doubts; you will come to know me fully and be united with me. ","  Hear, O Arjuna, how, with your mind rivetted on me, by practicing yoga and  making me the sole refuge, you shall, without doubt, know me fully.   ",0.34468016,0.5063146,0.78605545,1.6370502,1.6370502
122,8,21,  I am the sweet fragrance in earth; the brilliance in fire; the life in all beings;  and the austerity in ascetics.   , O Arjuna! There is nothing higher than Me; all is strung upon Me as rows of pearls upon a thread. ,"O mighty-armed one, know that this universe is the ultimate nature of myself, the living entity, the living entity, the living entity and the living entity.   ","  KRISHNA:  My highest nature, the imperishable Brahman, gives every creature its existence and lives in every creature as the adhyatma. My action is creation and the bringing forth of creatures. ",0.5074833,0.5310577,0.5429525,1.5814936,1.5814936
160,9,31," Repeating in this state the divine name, the syllable Om that represents the changeless Brahman, you will go forth from the body and attain the supreme goal. ","  This same multitude of creatures come to birth, O Arjuna, again and again;  they are dissolved at the coming of Night, whether they will or not; and at the  break of Day they are re-born.   "," But if he departs in gloom, at night, during the fortnight of the waning moon and in the six months before the Southern solstice, then he reaches but lunar light and he will be born again. "," But those who have no faith in the supreme law of life do not find me, Arjuna. They return to the world, passing from death to death. ",0.46065468,0.54926276,0.46337682,1.4732943,1.4732943
178,10,15,"The great souls who have attained Me again attain to the eternal abode of suffering, and the great souls have attained supreme perfection.   ","  I look upon all creatures equally; none are less dear to me and none more dear. But those who worship me with love live in me, and I come to life in them. "," They who have no faith in this teaching cannot find Me, but remain lost in the purlieus of this perishable world. ","Fools despise Me, the Supreme Personality of Godhead, who does not know the Supreme Being, the Supreme Personality of Godhead, who takes refuge in the human form. .",0.49653482,0.5952227,0.48712876,1.5788863,1.5788863
226,11,21,"I am the father of the universe, the mother, the mother, the grandfather, the sacred omkara, the Ṛk, the Sāma and Yajur Veda. .","  I am the scepter which metes out punishment, and the art of statesmanship in those who lead. I am the silence of the unknown and the wisdom of the wise. "," With minds concentrated on Me, with lives absorbed in Me, and enlightening each other, they ever feel content and happy. ",Among the Vedas I am the Sāma Veda among the demigods I am Vāsava among the senses I am the mind of the senses I am the consciousness of all living beings  ॥,0.6315805,0.51606727,0.4808925,1.6285403,1.6285403
279,12,19,"O Gudakesha, I am the Self, and I am situated in the hearts of all living beings. I am the beginning, the middle and the end of all living entities.  ॥","O destroyer of enemies, I have described the details of the glories of the Supreme Personality of Godhead.  ॥","  You are the supreme, changeless Reality, the one thing to be known. You are the refuge of all creation, the immortal spirit, the eternal guardian of eternal dharma. ","  You are the first among the gods, the timeless spirit, the resting place of all beings. You are the knower and the thing which is known. You are the final home; with your infinite form you pervade the cosmos. ",0.6846301,0.58417493,0.79421043,2.0630155,2.0630155
299,15,19,"  You are the first among the gods, the timeless spirit, the resting place of all beings. You are the knower and the thing which is known. You are the final home; with your infinite form you pervade the cosmos. ","  You are indeed as You have described Yourself, Supreme lord! I do crave to  behold, now, that form of Yours as Supreme Being.   ","  At the sight of your mighty form, O Arjuna, many-mouthed, with eyes,  arms, thighs and feet innumerable, with many vast bellies, terrible with many  jaws, the worlds feel fearfully oppressed, and so do I.   ","  You are Father of this world, of the moving and the un-moving; you are its  adored, its worthiest, Master; there is none equal to You; how then any greater  than You? Your power is matchless in the three worlds.   ",0.63832486,0.47299477,0.4359351,1.5472548,1.5472548
323,16,23,"  It is to favour you, O Arjuna, that I have revealed to you, by My own  unique power, this My form Supreme, Resplendent, Universal, Infinite,  Primal—which none save you has ever seen.   "," I see You, infinite in form, with, as it were, faces, eyes and limbs everywhere; no beginning, no middle, no end; O You Lord of the Universe, Whose Form is universal! "," Salutations to You in front and on every side, You who encompasseth me round about. Your power is infinite; Your majesty immeasurable; you uphold all things; yea,Thou Yourself are All. ","Having thus spoken to him, O King, Lord Hari, the lord of the great yogas, addressed Arjuna in the supreme form of the Supreme Personality of Godhead. .",0.710906,0.41958803,0.43058997,1.561084,1.561084
