slokas_no,slokas,slokas(no number),slokas_english
1,अर्जुन उवाचमदनुग्रहाय परमं गुह्यमध्यात्मसंज्ञितम् ।यत्त्वयोक्तं वचस्तेन मोहोऽयं विगतो मम ॥ १ ॥,"Arjuna said: For the mercy of Me, the supreme secret is called the spiritual world.  ॥","Arjuna said: For the mercy of Me, the supreme secret is called the spiritual world. 1 ॥"
2,भवाप्ययौ हि भूतानां श्रुतौ विस्तरशो मया ।त्वत्त: कमलपत्राक्ष माहात्म्यमपि चाव्ययम् ॥ २ ॥,I have heard in detail about the living entities of all living entities. I have also explained the inexhaustible glories of the lotus-eyed Lord.  ॥,I have heard in detail about the living entities of all living entities. I have also explained the inexhaustible glories of the lotus-eyed Lord. 2 ॥
3,एवमेतद्यथात्थ त्वमात्मानं परमेश्वर ।द्रष्टुमिच्छामि ते रूपमैश्वरं पुरुषोत्तम ॥ ३ ॥,"O Supreme Personality of Godhead, O Supreme Personality of Godhead, I wish to see Your transcendental form as You have thus described You.  ॥","O Supreme Personality of Godhead, O Supreme Personality of Godhead, I wish to see Your transcendental form as You have thus described You. 3 ॥"
4,मन्यसे यदि तच्छक्यं मया द्रष्टुमिति प्रभो ।योगेश्वर ततो मे त्वं दर्शयात्मानमव्ययम् ॥ ४ ॥,"If you think that I can see that I can see it, O lord of yoga, please show me the inexhaustible Self. .","If you think that I can see that I can see it, O lord of yoga, please show me the inexhaustible Self. 4."
5,श्रीभगवानुवाचपश्य मे पार्थ रूपाणि शतशोऽथ सहस्रश: ।नानाविधानि दिव्यानि नानावर्णाकृतीनि च ॥ ५ ॥,"The Supreme Personality of Godhead said: O son of Pṛthā, please see Me in hundreds of thousands of forms of various kinds.  ॥","The Supreme Personality of Godhead said: O son of Pṛthā, please see Me in hundreds of thousands of forms of various kinds. 5 ॥"
6,पश्यादित्यान्वसून्‍रुद्रानश्विनौ मरुतस्तथा ।बहून्यदृष्टपूर्वाणि पश्याश्चर्याणि भारत ॥ ६ ॥,"O descendant of Bharata behold the suns, Vasus, Rudras, Aśvinī-kumāras and the Maruts, and many other things I have never seen before.  ॥","O descendant of Bharata behold the suns, Vasus, Rudras, Aśvinī-kumāras and the Maruts, and many other things I have never seen before. 6 ॥"
7,इहैकस्थं जगत्कृत्स्नं पश्याद्य सचराचरम् ।मम देहे गुडाकेश यच्च‍ान्यद्‍द्रष्टुमिच्छसि ॥ ७ ॥,"O Lord of Gudakesha, please see the entire universe in this world, moving and unmoving in this world.  ॥","O Lord of Gudakesha, please see the entire universe in this world, moving and unmoving in this world. 7 ॥"
8,न तु मां शक्यसे द्रष्टुमनेनैव स्वचक्षुषा ।दिव्यं ददामि ते चक्षु: पश्य मे योगमैश्वरम् ॥ ८ ॥,You cannot see Me alone with your own eyes. I give you divine eyes. Please see my divine yoga.  ॥,You cannot see Me alone with your own eyes. I give you divine eyes. Please see my divine yoga. 8 ॥
9,सञ्जय उवाचएवमुक्त्वा ततो राजन्महायोगेश्वरो हरि: ।दर्शयामास पार्थाय परमं रूपमैश्वरम् ॥ ९ ॥,"Having thus spoken to him, O King, Lord Hari, the lord of the great yogas, addressed Arjuna in the supreme form of the Supreme Personality of Godhead. .","Having thus spoken to him, O King, Lord Hari, the lord of the great yogas, addressed Arjuna in the supreme form of the Supreme Personality of Godhead. 9."
10,अनेकवक्‍त्रनयनमनेकाद्भ‍ुतदर्शनम् ।अनेकदिव्याभरणं दिव्यानेकोद्यतायुधम् ॥ १० ॥,The eyes of many speeches were several.,"The eyes of many speeches were several, and many divine ornaments were adorned with many divine ornaments. 10 11."
11,दिव्यमाल्याम्बरधरं दिव्यगन्धानुलेपनम् ।सर्वाश्चर्यमयं देवमनन्तं विश्वतोमुखम् ॥ ११ ॥,many divine ornaments were adorned with many divine ornaments.,
12,दिवि सूर्यसहस्रस्य भवेद्युगपदुत्थिता ।यदि भा: सदृशी सा स्याद्भ‍ासस्तस्य महात्मन: ॥ १२ ॥,"If the sun rises simultaneously in the heavens in the sky, the great soul will be like the light of the great soul.  ॥","If the sun rises simultaneously in the heavens in the sky, the great soul will be like the light of the great soul. 12 ॥"
13,तत्रैकस्थं जगत्कृत्स्नं प्रविभक्तमनेकधा ।अपश्यद्देवदेवस्य शरीरे पाण्डवस्तदा ॥ १३ ॥,At that time the Pāṇḍavas saw the entire universe in the body of the demigods in various parts of the universe.  ॥,At that time the Pāṇḍavas saw the entire universe in the body of the demigods in various parts of the universe. 13 ॥
14,तत: स विस्मयाविष्टो हृष्टरोमा धनञ्जय: ।प्रणम्य शिरसा देवं कृताञ्जलिरभाषत ॥ १४ ॥,"Then Arjuna, overjoyed in astonishment, Arjuna bowed his head to the god and spoke with folded hands.  ॥","Then Arjuna, overjoyed in astonishment, Arjuna bowed his head to the god and spoke with folded hands. 14 ॥"
15,अर्जुन उवाचपश्यामि देवांस्तव देव देहेसर्वांस्तथा भूतविशेषसङ्घान् ।ब्रह्माणमीशं कमलासनस्थ-मृषींश्च सर्वानुरगांश्च दिव्यान् ॥ १५ ॥,"Arjuna said: O Lord, I shall now see all the demigods in Your body and all the hosts of living beings in Your body.  ॥","Arjuna said: O Lord, I shall now see all the demigods in Your body and all the hosts of living beings in Your body. 15 ॥"
16,अनेकबाहूदरवक्‍त्रनेत्रंपश्यामि त्वां सर्वतोऽनन्तरूपम् ।नान्तं न मध्यं न पुनस्तवादिंपश्यामि विश्वेश्वर विश्वरूप ॥ १६ ॥,"O Lord of the universe, I see You with many arms, abdomen, speech and eyes. I see You in infinite form in all directions.  ॥","O Lord of the universe, I see You with many arms, abdomen, speech and eyes. I see You in infinite form in all directions. 16 ॥"
