slokas_no,slokas,slokas_english(no numbers),slokas_english
1,अर्जुन उवाचकिं तद्‌ब्रह्म किमध्यात्मं किं कर्म पुरुषोत्तम ।अधिभूतं च किं प्रोक्तमधिदैवं किमुच्यते ॥ १ ॥,Arjuna said: What is that Absolute Truth? What is the Absolute Truth? What is the action of the Supreme Personality of Godhead? What is the Supreme Personality of Godhead?   ,Arjuna said: What is that Absolute Truth? What is the Absolute Truth? What is the action of the Supreme Personality of Godhead? What is the Supreme Personality of Godhead? 1  
2,अधियज्ञ: कथं कोऽत्र देहेऽस्मिन्मधुसूदन ।प्रयाणकाले च कथं ज्ञेयोऽसि नियतात्मभि: ॥ २ ॥,"O Madhusūda, how can you be understood by the self-realized souls?   ","O Madhusūda, how can you be understood by the self-realized souls? 2  "
3,श्रीभगवानुवाचअक्षरं ब्रह्म परमं स्वभावोऽध्यात्ममुच्यते ।भूतभावोद्भ‍वकरो विसर्ग: कर्मसंज्ञित: ॥ ३ ॥,"The Supreme Personality of Godhead, the Supreme Personality of Godhead, has described the imperishable Absolute Truth, the Supreme Absolute Truth, the Supreme Self.   ","The Supreme Personality of Godhead, the Supreme Personality of Godhead, has described the imperishable Absolute Truth, the Supreme Absolute Truth, the Supreme Self. 3  "
4,अधिभूतं क्षरो भाव: पुरुषश्चाधिदैवतम् ।अधियज्ञोऽहमेवात्र देहे देहभृतां वर ॥ ४ ॥,"O best of all living entities, I am the supernatural, the mode of goodness, the Supreme Personality of Godhead, the Supreme Personality of Godhead. .","O best of all living entities, I am the supernatural, the mode of goodness, the Supreme Personality of Godhead, the Supreme Personality of Godhead. 4."
5,अन्तकाले च मामेव स्मरन्मुक्त्वा कलेवरम् ।य: प्रयाति स मद्भ‍ावं याति नास्त्यत्र संशय: ॥ ५ ॥,"At the end of time, one who remembers Me alone, reminds me of My body, will undoubtedly go to My body.   ","At the end of time, one who remembers Me alone, reminds me of My body, will undoubtedly go to My body. 5  "
6,यं यं वापि स्मरन्भावं त्यजत्यन्ते कलेवरम् ।तं तमेवैति कौन्तेय सदा तद्भ‍ावभावित: ॥ ६ ॥,"O son of Kunti, one should always think of whatever body is remembrance and at the end of the body.   ","O son of Kunti, one should always think of whatever body is remembrance and at the end of the body. 6  "
7,तस्मात्सर्वेषु कालेषु मामनुस्मर युध्य च ।मय्यर्पितमनोबुद्धिर्मामेवैष्यस्यसंशय: ॥ ७ ॥,"Therefore, at all times, remember Me and fight Me. You will undoubtedly come to Me with your mind and intelligence.   ","Therefore, at all times, remember Me and fight Me. You will undoubtedly come to Me with your mind and intelligence. 7  "
8,अभ्यासयोगयुक्तेन चेतसा नान्यगामिना ।परमं पुरुषं दिव्यं याति पार्थानुचिन्तयन् ॥ ८ ॥,A person who is engaged in the practice of practice and who does not move away from any other governance attains the divine Supreme Person as the Supreme Personality of Godhead   ,A person who is engaged in the practice of practice and who does not move away from any other governance attains the divine Supreme Person as the Supreme Personality of Godhead 8  
9,कविं पुराणमनुशासितार-मणोरणीयांसमनुस्मरेद्य: ।सर्वस्य धातारमचिन्त्यरूप-मादित्यवर्णं तमस: परस्तात् ॥ ९ ॥,"The Supreme Personality of Godhead, who is the source of all darkness, is the source of all darkness, the Supreme Personality of Godhead, who has disciplined the Purāṇas, who has disciplined himself, and who is the source of all darkness. .","The Supreme Personality of Godhead, who is the source of all darkness, is the source of all darkness, the Supreme Personality of Godhead, who has disciplined the Purāṇas, who has disciplined himself, and who is the source of all darkness. 9."
10,प्रयाणकाले मनसाचलेनभक्त्य‍ा युक्तो योगबलेन चैव ।भ्रुवोर्मध्ये प्राणमावेश्य सम्य-क्स तं परं पुरुषमुपैति दिव्यम् ॥ १० ॥,"At the time of departure, the mind is engaged in devotional service and by the power of yoga, and in the middle of the eyebrows, the Supreme Personality of Godhead attains the Supreme Personality of Godhead. .","At the time of departure, the mind is engaged in devotional service and by the power of yoga, and in the middle of the eyebrows, the Supreme Personality of Godhead attains the Supreme Personality of Godhead. 10."
