slokas_no,slokas,slokas_english(no numbers),slokas_english
1,अर्जुन उवाचसन्न्यासं कर्मणां कृष्ण पुनर्योगं च शंससि ।यच्छ्रेय एतयोरेकं तन्मे ब्रूहि सुनिश्चितम् ॥ १ ॥,"Arjuna said: O Kṛṣṇa, please explain to me as one of these two things, which are better than those of my actions.  ","Arjuna said: O Kṛṣṇa, please explain to me as one of these two things, which are better than those of my actions. 1 "
2,श्रीभगवानुवाचसन्न्यास: कर्मयोगश्च नि:श्रेयसकरावुभौ ।तयोस्तु कर्मसन्न्यासात्कर्मयोगो विशिष्यते ॥ २ ॥,"The Supreme Personality of Godhead said: Sannyasa, karma-yoga, nirsaśramyaskara and karmā are the two modes of material nature.  ","The Supreme Personality of Godhead said: Sannyasa, karma-yoga, nirsaśramyaskara and karmā are the two modes of material nature. 2 "
3,ज्ञेय: स नित्यसन्न्यासी यो न द्वेष्टि न काङ्‍क्षति ।निर्द्वन्द्वो हि महाबाहो सुखं बन्धात्प्रमुच्यते ॥ ३ ॥,He who is eternally renounced does not hate or desires to do so.  ,He who is eternally renounced does not hate or desires to do so. 3 
4,सां‍ख्ययोगौ पृथग्बाला: प्रवदन्ति न पण्डिता: ।एकमप्यास्थित: सम्यगुभयोर्विन्दते फलम् ॥ ४ ॥,Children and children are not able to reap the fruits of both Sāṅkhya and Yoga. .,Children and children are not able to reap the fruits of both Sāṅkhya and Yoga. 4.
5,यत्सां‍ख्यै: प्राप्यते स्थानं तद्योगैरपि गम्यते ।एकं सां‍ख्यं च योगं च य: पश्यति स पश्यति ॥ ५ ॥,Anyone who sees one Sāṅkhya and Yoga as one can attain to the same place as one can attain the abode of the Supreme Personality of Godhead.  ,Anyone who sees one Sāṅkhya and Yoga as one can attain to the same place as one can attain the abode of the Supreme Personality of Godhead. 5 
6,सन्न्यासस्तु महाबाहो दु:खमाप्‍तुमयोगत: ।योगयुक्तो मुनिर्ब्रह्म न चिरेणाधिगच्छति ॥ ६ ॥,"O mighty-armed one, a sage who is engaged in the practice of yoga, O mighty-armed one, does not attain to the Absolute Truth.  ","O mighty-armed one, a sage who is engaged in the practice of yoga, O mighty-armed one, does not attain to the Absolute Truth. 6 "
7,योगयुक्तो विश‍ुद्धात्मा विजितात्मा जितेन्द्रिय: ।सर्वभूतात्मभूतात्मा कुर्वन्नपि न लिप्यते ॥ ७ ॥,A person who is engaged in yogī and who is self-controlled and self-controlled is not tainted by the Supreme Personality of Godhead.  ,A person who is engaged in yogī and who is self-controlled and self-controlled is not tainted by the Supreme Personality of Godhead. 7 
8,नैव किञ्चित्करोमीति युक्तो मन्येत तत्त्ववित् ।पश्यञ्श‍ृण्वन्स्पृशञ्जिघ्रन्नश्न‍न्गच्छन्स्वपन्श्वसन् ॥ ८ ॥,"A person who knows the truth should think that he is not doing anything, looking at the truth, seeing, touching, smelling, breathing, sleeping, breathing, breathing.","A person who knows the truth should think that he is not doing anything, looking at the truth, seeing, touching, smelling, breathing, sleeping, breathing, breathing. 8. They were talking about the senses, and they were lying in the senses, and they were engaged in the sense objects of the senses. 9."
9,प्रलपन्विसृजन्गृह्णन्नुन्मिषन्निमिषन्नपि ।इन्द्रियाणीन्द्रियार्थेषु वर्तन्त इति धारयन् ॥ ९ ॥,"They were talking about the senses, and they were lying in the senses, and they were engaged in the sense objects of the senses.",
10,ब्रह्मण्याधाय कर्माणि सङ्गं त्यक्त्वा करोति य: ।लिप्यते न स पापेन पद्मपत्रमिवाम्भसा ॥ १० ॥,A person who performs his duties by stealing his activities and performs his duties by realizing his activities is not stained by a sinful water of a lotus flower. .,A person who performs his duties by stealing his activities and performs his duties by realizing his activities is not stained by a sinful water of a lotus flower. 10.
11,कायेन मनसा बुद्ध्या केवलैरिन्द्रियैरपि ।योगिन: कर्म कुर्वन्ति सङ्गं त्यक्त्वात्म‍श‍ुद्धये ॥ ११ ॥,"The yogīs, with their bodies, minds, intelligence and the senses alone perform their duties for the sake of self-realization. .","The yogīs, with their bodies, minds, intelligence and the senses alone perform their duties for the sake of self-realization. 11."
