"slokas_no","slokas","slokas(no number)","slokas_english"
"1","श्रीभगवानुवाचऊर्ध्वमूलमध:शाखमश्वत्थं प्राहुरव्ययम् ।छन्दांसि यस्य पर्णानि यस्तं वेद स वेदवित् ॥ १ ॥","The Supreme Personality of Godhead said: The Supreme Personality of Godhead, who knows the Vedas, is the one whose roots are the roots of the āśramas, the branches and the lower branches of the Vedas.  ॥","The Supreme Personality of Godhead said: The Supreme Personality of Godhead, who knows the Vedas, is the one whose roots are the roots of the āśramas, the branches and the lower branches of the Vedas. 1 ॥"
"2","अधश्चोर्ध्वं प्रसृतास्तस्य शाखागुणप्रवृद्धा विषयप्रवाला: ।अधश्च मूलान्यनुसन्ततानिकर्मानुबन्धीनि मनुष्यलोके ॥ २ ॥","The corals of sensual pleasures, which have grown in the modes of material nature, extend the roots of the Vedas, and the roots of the Vedas, which are continuously related to their activities.  ॥","The corals of sensual pleasures, which have grown in the modes of material nature, extend the roots of the Vedas, and the roots of the Vedas, which are continuously related to their activities. 2 ॥"
"3","न रूपमस्येह तथोपलभ्यतेनान्तो न चादिर्न च सम्प्रतिष्ठा ।अश्वत्थमेनं सुविरूढमूल-मसङ्गशस्त्रेण दृढेन छित्त्वा ॥ ३ ॥","I have no form in this world, nor do I perceive the end, nor do I have the beginning, nor do I establish this Aśvattha tree with a strong weapon of unattachment.","I have no form in this world, nor do I perceive the end, nor do I have the beginning, nor do I establish this Aśvattha tree with a strong weapon of unattachment. Then the ancients have extended their activities to the first person who has extended his activities in the beginning of the universe. 4."
"4","तत: पदं तत्परिमार्गितव्यंयस्मिन्गता न निवर्तन्ति भूय: ।तमेव चाद्यं पुरुषं प्रपद्येयत: प्रवृत्ति: प्रसृता पुराणी ॥ ४ ॥","Then the ancients have extended their activities to the first person who has extended his activities in the beginning of the universe.",""
"5","निर्मानमोहा जितसङ्गदोषाअध्यात्मनित्या विनिवृत्तकामा: ।द्वन्द्वैर्विमुक्ता: सुखदु:खसंज्ञै-र्गच्छन्त्यमूढा: पदमव्ययं तत् ॥ ५ ॥","They are free from all material desires, deluded, deluded by attachment, and are free from all desires.  ॥","They are free from all material desires, deluded, deluded by attachment, and are free from all desires. 5 ॥"
"6","न तद्भ‍ासयते सूर्यो न शशाङ्को न पावक: ।यद्ग‍त्वा न निवर्तन्ते तद्धाम परमं मम ॥ ६ ॥","The sun, the moon, the fire or the fire does not shine. That which is not resumed by going or returning is My supreme abode.  ॥","The sun, the moon, the fire or the fire does not shine. That which is not resumed by going or returning is My supreme abode. 6 ॥"
"7","ममैवांशो जीवलोके जीवभूत: सनातन: ।मन:षष्ठानीन्द्रियाणि प्रकृतिस्थानि कर्षति ॥ ७ ॥","The eternal living entity, who is the living entity in the world of living entities, attracts the six senses, the mind and the mind.  ॥","The eternal living entity, who is the living entity in the world of living entities, attracts the six senses, the mind and the mind. 7 ॥"
"8","शरीरं यदवाप्‍नोति यच्च‍ाप्युत्क्रामतीश्वर: ।गृहीत्वैतानि संयाति वायुर्गन्धानिवाशयात् ॥ ८ ॥","When the Lord takes the body of the Supreme Personality of Godhead, the Supreme Personality of Godhead takes away His body, and the air becomes the source of all knowledge.  ॥","When the Lord takes the body of the Supreme Personality of Godhead, the Supreme Personality of Godhead takes away His body, and the air becomes the source of all knowledge. 8 ॥"
"9","श्रोत्रं चक्षु: स्पर्शनं च रसनं घ्राणमेव च ।अधिष्ठाय मनश्चायं विषयानुपसेवते ॥ ९ ॥","The ears, the eyes, the touch, the taste, the sense of smell, the mind and the mind are present in the sense of sense gratification. .","The ears, the eyes, the touch, the taste, the sense of smell, the mind and the mind are present in the sense of sense gratification. 9."
"10","उत्क्रामन्तं स्थितं वाऽपि भुञ्जानं वा गुणान्वितम् ।विमूढा नानुपश्यन्ति पश्यन्ति ज्ञानचक्षुष: ॥ १० ॥","Those who are deluded by the eyes of knowledge do not see whether it is moving or standing or enjoying the modes of nature .","Those who are deluded by the eyes of knowledge do not see whether it is moving or standing or enjoying the modes of nature 10."
