slokas_no,slokas,,slokas_english(no numbers),slokas_english
1,धृतराष्ट्र उवाचधर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सव: ।मामका: पाण्डवाश्चैव किमकुर्वत सञ्जय ॥ १ ॥,,"Dhṛtarāṣṭra said: O Sanjaya, what did the Pāṇḍavas and the Pāṇḍavas do with their festivities assembled in the field of Kurukṣetra in the field of Dharma? ","Dhṛtarāṣṭra said: O Sanjaya, what did the Pāṇḍavas and the Pāṇḍavas do with their festivities assembled in the field of Kurukṣetra in the field of Dharma? "
2,सञ्जय उवाचदृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा ।आचार्यमुपसङ्गम्य राजा वचनमब्रवीत्  ॥  २ ॥   ,,Sanjaya saw the army of the Pāṇḍavas arranged at the army of the Pāṇḍavas and the king approached the ācārya and addressed him as follows   ,Sanjaya saw the army of the Pāṇḍavas arranged at the army of the Pāṇḍavas and the king approached the ācārya and addressed him as follows   
3,पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् ।व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता ॥ ३ ॥,,O teacher look at this great army of the sons of Pāṇḍu by your wise disciple the son of Drupada    ,O teacher look at this great army of the sons of Pāṇḍu by your wise disciple the son of Drupada    
4,अत्र श‍ूरा महेष्वासा भीमार्जुनसमा युधि ।युयुधानो विराटश्च द्रुपदश्च महारथः ॥ ४ ॥,,Here the great archer Bhīma and Arjuna are equal to Bhīma and Arjuna in battle Virata and Drupada the great charioteer ,Here the great archer Bhīma and Arjuna are equal to Bhīma and Arjuna in battle Virata and Drupada the great charioteer 
5,धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् ।पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गवः ॥ ५ ॥,,Dhrishtaketu and Chekitana were the mighty king of Kāśī and the mighty Purujit Kuntibhoja ,Dhrishtaketu and Chekitana were the mighty king of Kāśī and the mighty Purujit Kuntibhoja 
6,युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् ।सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः ॥ ६ ॥,,Yudhamanyu and Vikranta Uttamauja were the mighty Saubhadra and Draupadi and all the great charioteers   ,Yudhamanyu and Vikranta Uttamauja were the mighty Saubhadra and Draupadi and all the great charioteers   
7,अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम ।नायका मम सैन्यस्य संज्ञार्थ तान्ब्रवीमि ते ॥ ७ ॥,,O best of the brāhmaṇas listen to those who are distinguished by us   ,O best of the brāhmaṇas listen to those who are distinguished by us   
8,भवान्भीष्मश्च कर्णश्च कृपश्च समितिंजयः ।अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च ॥ ८ ॥,,You are Bhishma Karna Kripa Samitinjaya Ashvatthama Vikarna and also Saumadatti    ,You are Bhishma Karna Kripa Samitinjaya Ashvatthama Vikarna and also Saumadatti    
9,अन्ये च बहवः श‍ूरा मदर्थे त्यक्तजीविताः ।नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः ॥ ९ ॥,,Many other brave men gave up their lives for My sake They were all experts in warfare ,Many other brave men gave up their lives for My sake They were all experts in warfare 
10,अपर्याप्त‍ं तदस्माकं बलं भीष्माभिरक्षितम् ।पर्याप्त‍ं त्विदमेतेषां बलं भीमाभिरक्षितम् ॥ १० ॥,,The strength of ours is protected by Bhīma and is protected by Bhīma ,The strength of ours is protected by Bhīma and is protected by Bhīma 
11,अयनेषु च सर्वेषु यथाभागवमस्थिताः ।भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि ॥ ११ ॥,,May all of you protect Bhishma in all the ayana in their proper way ,May all of you protect Bhishma in all the ayana in their proper way 
12,तस्य सञ्जनयन्हर्षं कुरुवृद्धः पितामहः ।सिंहनादं विनद्योच्च‍ैः शङ्खं दध्मौ प्रतापवान् ॥ १२ ॥,,The mighty grandfather of the Kurus shook the roar of the roar of the lion's conchshell and blew his conchshell   ,The mighty grandfather of the Kurus shook the roar of the roar of the lion's conchshell and blew his conchshell   
13,ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः ।सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत् ॥ १३ ॥,,Then suddenly the sounds of the conches and the drums and the horns of the cowherd boys became tumultuous    ,Then suddenly the sounds of the conches and the drums and the horns of the cowherd boys became tumultuous 13   
