slokas_no,slokas,slokas(no number),slokas_english
1,श्रीभगवानुवाचभूय एव महाबाहो श‍ृणु मे परमं वच: ।यत्तेऽहं प्रीयमाणाय वक्ष्यामि हितकाम्यया ॥ १ ॥,"The Supreme Personality of Godhead said: O mighty-armed one, please hear from me the supreme words of the Supreme Personality of Godhead. For the sake of my beloved, I shall now speak to you.  ॥","The Supreme Personality of Godhead said: O mighty-armed one, please hear from me the supreme words of the Supreme Personality of Godhead. For the sake of my beloved, I shall now speak to you. 1 ॥"
2,न मे विदु: सुरगणा: प्रभवं न महर्षय: ।अहमादिर्हि देवानां महर्षीणां च सर्वश: ॥ २ ॥,"I do not know the origin of the demigods, nor the great sages, for I am the origin of all the demigods and the great sages.  ॥","I do not know the origin of the demigods, nor the great sages, for I am the origin of all the demigods and the great sages. 2 ॥"
3,यो मामजमनादिं च वेत्ति लोकमहेश्वरम् ।असम्मूढ: स मर्त्येषु सर्वपापै: प्रमुच्यते ॥ ३ ॥,"He who knows Me as the origin of the universe and the Supreme Personality of Godhead, who is not deluded by the Supreme Personality of Godhead, is freed from all sins.  ॥","He who knows Me as the origin of the universe and the Supreme Personality of Godhead, who is not deluded by the Supreme Personality of Godhead, is freed from all sins. 3 ॥"
4,बुद्धिर्ज्ञानमसम्मोह: क्षमा सत्यं दम: शम: ।सुखं दु:खं भवोऽभावो भयं चाभयमेव च ॥ ४ ॥,"Intelligence, knowledge, non-delusion, forgiveness, truthfulness, restraint, happiness, pain, birth, fear and fearlessness.","Intelligence, knowledge, non-delusion, forgiveness, truthfulness, restraint, happiness, pain, birth, fear and fearlessness. 4 Non-violence, equality, contentment, austerity, charity, fame and dishonor are the modes of nature of all living entities. 5 ॥"
5,अहिंसा समता तुष्टिस्तपो दानं यशोऽयश: ।भवन्ति भावा भूतानां मत्त एव पृथग्विधा: ॥ ५ ॥,"Non-violence, equality, contentment, austerity, charity, fame and dishonor are the modes of nature of all living entities.",
6,महर्षय: सप्‍त पूर्वे चत्वारो मनवस्तथा ।मद्भ‍ावा मानसा जाता येषां लोक इमा: प्रजा: ॥ ६ ॥,"In the past, the seven Manus, the four Manus, the sons of Me, whose minds were born of Me.  ॥","In the past, the seven Manus, the four Manus, the sons of Me, whose minds were born of Me. 6 ॥"
7,एतां विभूतिं योगं च मम यो वेत्ति तत्त्वत: ।सोऽविकल्पेन योगेन युज्यते नात्र संशय: ॥ ७ ॥,There is no doubt that one who knows this opulence and mysticism of yoga in truth is absorbed in yoga.  ॥,There is no doubt that one who knows this opulence and mysticism of yoga in truth is absorbed in yoga. 7 ॥
8,अहं सर्वस्य प्रभवो मत्त: सर्वं प्रवर्तते ।इति मत्वा भजन्ते मां बुधा भावसमन्विता: ॥ ८ ॥,"I am the source of all living entities, thinking that I am the source of all things.  ॥","I am the source of all living entities, thinking that I am the source of all things. 8 ॥"
9,मच्च‍ित्ता मद्ग‍तप्राणा बोधयन्त: परस्परम् ।कथयन्तश्च मां नित्यं तुष्यन्ति च रमन्ति च ॥ ९ ॥,They are always satisfied and delighted in my life and rejoice in my life and rejoice in my life. .,They are always satisfied and delighted in my life and rejoice in my life and rejoice in my life. 9.
10,तेषां सततयुक्तानां भजतां प्रीतिपूर्वकम् ।ददामि बुद्धियोगं तं येन मामुपयान्ति ते ॥ १० ॥,Those who are constantly steadfast and who are always engaged in devotional service to those who worship Me are the means by which they attain Me. .,Those who are constantly steadfast and who are always engaged in devotional service to those who worship Me are the means by which they attain Me. 10.
11,तेषामेवानुकम्पार्थमहमज्ञानजं तम: ।नाशयाम्यात्मभावस्थो ज्ञानदीपेन भास्वता ॥ ११ ॥,"For the sake of compassion, I destroy the darkness of ignorance, and I destroy the illusory energy of knowledge. .","For the sake of compassion, I destroy the darkness of ignorance, and I destroy the illusory energy of knowledge. 11."
12,अर्जुन उवाचपरं ब्रह्म परं धाम पवित्रं परमं भवान् ।पुरुषं शाश्वतं दिव्यमादिदेवमजं विभुम् ॥ १२ ॥,"Arjuna said: You are the Supreme Absolute Truth, the Supreme Personality of Godhead, the Supreme Personality of Godhead, the eternal Supreme Personality of Godhead, the original Supreme Personality of Godhead.","Arjuna said: You are the Supreme Absolute Truth, the Supreme Personality of Godhead, the Supreme Personality of Godhead, the eternal Supreme Personality of Godhead, the original Supreme Personality of Godhead. 12 I have told you all the sages devarshi Nārada 13 ॥"
13,आहुस्त्वामृषय: सर्वे देवर्षिर्नारदस्तथा ।असितो देवलो व्यास: स्वयं चैव ब्रवीषि मे ॥ १३ ॥,I have told you all the sages devarshi Nārada,
14,सर्वमेतदृतं मन्ये यन्मां वदसि केशव ।न हि ते भगवन्व्यक्तिं विदुर्देवा न दानवा: ॥ १४ ॥,"O Keśava, I think all this is true, O Keśava, for you are not known as the demigods, nor do the demigods, nor the demons.  ॥","O Keśava, I think all this is true, O Keśava, for you are not known as the demigods, nor do the demigods, nor the demons. 14 ॥"
15,स्वयमेवात्मनात्मानं वेत्थ त्वं पुरुषोत्तम ।भूतभावन भूतेश देवदेव जगत्पते ॥ १५ ॥,"O Supreme Personality of Godhead, Lord of the universe, O Lord of the universe, You know Yourself, O Supreme Personality of Godhead.  ॥","O Supreme Personality of Godhead, Lord of the universe, O Lord of the universe, You know Yourself, O Supreme Personality of Godhead. 15 ॥"
16,वक्तुमर्हस्यशेषेण दिव्या ह्यात्मविभूतय: ।याभिर्विभूतिभिर्लोकानिमांस्त्वं व्याप्य तिष्ठसि ॥ १६ ॥,Please explain to me the entire universe with all the splendors of self-realized souls by which you pervade these worlds.  ॥,Please explain to me the entire universe with all the splendors of self-realized souls by which you pervade these worlds. 16 ॥
17,कथं विद्यामहं योगिंस्त्वां सदा परिचिन्तयन् ।केषु केषु च भावेषु चिन्त्योऽसि भगवन्मया ॥ १७ ॥,"O Lord, how can I meditate on You, who are always contemplating You, O Lord? You are to be contemplated by me, O Supreme Personality of Godhead. .","O Lord, how can I meditate on You, who are always contemplating You, O Lord? You are to be contemplated by me, O Supreme Personality of Godhead. 17."
18,विस्तरेणात्मनो योगं विभूतिं च जनार्दन ।भूय: कथय तृप्‍तिर्हि श‍ृण्वतो नास्ति मेऽमृतम् ॥ १८ ॥,"O Lord Janārdana, please explain to me more of myself in detail, for I am very much pleased with me.  ॥","O Lord Janārdana, please explain to me more of myself in detail, for I am very much pleased with me. 18 ॥"
19,श्रीभगवानुवाचहन्त ते कथयिष्यामि दिव्या ह्यात्मविभूतय: ।प्राधान्यत: कुरुश्रेष्ठ नास्त्यन्तो विस्तरस्य मे ॥ १९ ॥,"O best of the Kurus, I shall now explain to you the divine opulences of my own self-realized souls. I shall now explain to you in detail. .","O best of the Kurus, I shall now explain to you the divine opulences of my own self-realized souls. I shall now explain to you in detail. 19."
