,Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
0,"The Supreme Personality of Godhead said: He who performs the fruits of his duties without resorting to the fruits of his activities is neither a yogī nor a yogī, nor is he inactive.   ",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,"O son of Pāṇḍu, one should know that the yoga of yoga is that which is called renunciation.   ",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,"When the sage who desires to ascend to the material world is the cause of his activities, the Supreme Personality of Godhead is the cause of all activities.   ",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"When one does not renounce all his resolve for the objects of his senses, he is not engaged in the objects of his senses. .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
4,One should not lift oneself up one’s own self and should not despise one’s own self. For oneself is the friend of the self.   ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"The self-control of the self is the self-control of the self, and the self is the enemy of the self, just as the self is the enemy of the self.   ",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,"The Supreme Personality of Godhead is concentrated on the Supreme Personality of Godhead, who has conquered his soul and is at peace with cold, heat, pleasure and pain.   ",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"The yogī, camel, stone and gold is said to be the self-satisfied self, the self-controlled, the self-controlled.   ",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"A friend, friend, friend, indifferent persons, enemies, enemies, relatives, even the saintly persons are equally intelligent. .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,The yogī should constantly engage himself in secret and should continue to marry one’s mind and controlled his mind. .,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,"After placing a steady seat in a clean place, the body was not very high, nor was it too low, nor was it too low.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
11,One should sit on the seat of the Supreme Personality of Godhead and practice yoga with one’s mind fixed on the Supreme Personality of Godhead,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,He looked at him with his body head and neck equally moving and steady in the tip of his nose and looked at him in all directions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,"Having restrained the vows of celibacy and steadfastness of the mind, one should control my mind and be devoted to Me.",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"One who thus engages himself in this state of self-control, who is controlled by the controlled mind, attains to the supreme state of tranquility, which is situated in Me.   ",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"O Arjuna, there is no one who is not excessively absorbed in the same way, nor is there any one who is not aware of it, nor is there any one who is not aware of his own life.   ",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
16,"If one eats steadfast food and pastimes, he is engaged in his activities. He is the source of all suffering. .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,"When the mind is fixed on the self, it is said to be devoid of all desires and is free from all desires.   ",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Just as a lamp in the air is not in the air, so the yogīs are controlled by the controlled mind. .",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
19,"Wherever the mind is restrained by the service of yoga, the self-satisfied person is satisfied with the self-satisfied person",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,"The ultimate happiness of the Supreme Personality of Godhead, which perceives the senses, is transcendental to the senses.",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,He who has obtained it and thinks of another benefit is no more than that in which he is situated in which he is not disturbed by the spiritual master,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,It is known that the combination of pain and separation is called yoga.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
23,"After renouncing all desires for the sake of resolve for resolve in mind, one should resolve to resolve the senses from all material contamination.   ",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,One should slowly slowly cease with intelligence and concentrate on the self-contained mind and should not contemplate anything. .,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"Wherever the mind is restless and unsteady, one should then control the body and bring it under the control of the self. .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"The yogī, who is calm in his mind, attains to the supreme happiness of the yogī, which is the source of all impurities and is the Absolute Truth.   ",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,"When one thus engages himself in this way, the yogī, free from all impurities, attains to the Supreme Personality of Godhead with His transcendental bliss. .",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"The Supreme Personality of Godhead, who is steadfast in yoga, observes all living entities in all living entities and all living entities. .",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
