,Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
0,"Arjuna said: Those devotees who are thus constantly engaged in worshiping You, who are also the most unmanifest of the unmanifest, who are the best in yoga?  ॥",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,"The Supreme Personality of Godhead said: Those who are ever engaged in steadfastness and worship Me with faith in Me, who are steadfast in the Supreme Personality of Godhead.  ॥",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Those who worship the imperishable indescribable and unmanifest, unchanging, unchanging and unchanging are certainly unchanging.",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Those who are equally conscious of all the senses and who are engaged in the welfare of all beings attain to the symptoms of the senses,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"For those whose minds are attached to the unmanifest and whose minds are unmanifest, the destination of the body is like the body.  ॥",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,Those who have renounced all my activities in Me and are devoted to Me and worship Me by meditating on Me without any other means of yoga.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"I shall rescue them from the ocean of death and this world of death and I shall soon become long, O son of those who are fixed in Me.",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"Concentrate on Me in Me in Me, fix your mind on Me. You will live in Me. In Me alone, there is no doubt that there is no doubt about it.  ॥",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"Then, O Arjuna, you cannot fix your mind on Me by the practice of practice. Therefore, O Arjuna, you can attain Me. .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,You are unable to practice My activities and be devoted to My activities You will attain perfection even for My sake. .,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,"If you are unable to do this, you should renounce the fruits of all my actions. Therefore, you should renounce all the fruits of my actions. .",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,"Knowledge is the best way to practice knowledge and meditation is superior to meditation. From meditation, renunciation of the fruits of action is attained by renunciation.  ॥",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"He is not hated by all living beings, friendly and compassionate.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,He is always satisfied with the yogi who has controlled his mind and is firmly fixed in his mind and who is devoted to Me,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"He who is freed from all joy, anger, fear and anxiety, who is not afraid of the world and who is not afraid of this world.  ॥",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"He who is indifferent to Me, who is indifferent, indifferent, indifferent, indifferent, renounces all beginnings and who is devoted to Me is dear to Me.  ॥",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,"He who does not rejoice, hate, lament or desire to renounce the auspiciousness of the Lord is My dearest. .",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,"He is equal to his enemies, friends, honor and dishonor, and is equally free from attachment to cold, hot, pleasure and pain.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,He was silent and silent and satisfied with any of them. He was steady in mind and devoted to Me.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Those who worship this nectar of religious principles as described above are very dear to Me and are very dear to Me.  ॥,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
