,Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
0,"The Supreme Personality of Godhead said: I shall now describe to you the most secret of envy. Knowing this knowledge with knowledge, you will be freed from all knowledge.   ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,The royal knowledge is the secret of the king and is the most sacred and the supreme understanding of the righteous and the pious and the inexhaustible.   ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,O protector of the enemies of the enemy of the enemy of religion the men who are unbelieving in faith return to the path of death and this world.   ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,I pervades this entire universe in the unmanifest form of the universe. I am not present in them. I am not present in them. .,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,"Behold the Supreme Personality of Godhead, who is the Supreme Personality of Godhead, who is in all living entities, who is in all living entities.   ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Just understand that the air is always omnipresent in the sky and is omnipresent in all living entities.   ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"O son of Kunti, at the end of a kalpa, I shall now release all living beings in the beginning of the kalpa.   ",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,I again and again give up my own nature and release this entire village of living entities under the control of nature.   ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,"O Arjuna, they do not bind Me, O Arjuna, as if they were indifferent and unattached to those activities. .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,"O son of Kunti, by the cause of this cause, nature is born of Me, O son of Kunti. .",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
