,Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
0,"Arjuna said: Those who abandon the customs of the scriptures and perform sacrifices with faith, what is their devotion to them?  ॥",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,"The Supreme Personality of Godhead, the Supreme Personality of Godhead, has three kinds of faith in the embodied beings, and that is the mode of goodness, which is in the mode of goodness, Rajasic, Rajasic and Tamasic.  ॥",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"O descendant of Bharata, the Supreme Personality of Godhead, who is full of faith, is the same as the Supreme Personality of Godhead.  ॥",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"The modes of material nature, the modes of material nature, the demigods, the rakshasas, the modes of nature, the modes of material nature and other demigods worship the demigods and other demigods. .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4,Those who are engaged in austerities without the scriptures and who are endowed with pride and egoism and who are endowed with lust and passion.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5,They were drawn from the body of the living entities in the body of the living entities and the minds of the demons were drawn from the body of the demon,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
6,"Food is the most dear to everyone. There are three kinds of foodstuffs, such as sacrifice, austerity and charity. Hear this difference between them.  ॥",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"They are the sources of life, strength, health, happiness, pleasure and enhance the tastes of all kinds of tastes, steady, steady, hearts and foodstuffs.  ॥",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"The foods of the mode of passion are bitter, acidic, salty, extremely hot, sharp, bitter and burning. These foods are desired by the mode of passion. They cause pain, lamentation and disease.  ॥",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,The food that is cleansed of the taste is cleansed and the food is cleansed and the food is unclean and the food is dear to the darkness. .,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,"A person who performs sacrifices in the manner prescribed by the prescribed rituals is the one who is in the mode of goodness, and the mind is fixed in the mode of goodness. .",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,O best of the Bharatas know that sacrifice which is performed for the sake of arrogance and for the sake of pride  ॥,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,They also describe the sacrifice of the modes of material nature without faith and without any mantra without any mantra  ॥,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,"Worship of the demigods, brāhmaṇas, spiritual masters, purity, ceremonies, celibacy, celibacy, non-violence and physical austerities are called śārīra.  ॥",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"The words of the Supreme Personality of Godhead are called śāstras, which are not anxious, which are true, pleasant and beneficial.  ॥",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"The mind, grace, silence, self-control and self-control is called the mental state of self-realization.  ॥",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,"With great faith, the three kinds of austerities are performed by men who are endowed with the desires of the fruits of the Vedas. .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Whatever is performed for the sake of worship and honor and by arrogance is described in this world as Rajasic and immutable.  ॥,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,The austerities performed by the tormentor of the self by chanting the mantras of the Supreme Personality of Godhead are described in the Vedas. .,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,That which is given to a person who is not helpful to him is considered to be a Sattvic.  ॥,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,Whatever is given to the reward for the benefit of rewards or rewards is considered to be a king’s deed.  ॥,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Whatever charity is given to those who are not disregarded is not disrespected and is despised by disrespecting it is called Tamasic.  ॥,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,"In the past, the Vedas, the brāhmaṇas, the Vedas and the sacrifices performed in the past.  ॥",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"Therefore, the rituals of sacrifice, charity and austerities are always described in the Vedas.  ॥",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"The fruits of performing various rituals, such as sacrifices, perform various rituals, performing the fruits of performing sacrifices and austerities. .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"This is used in the same way as the truth, O son of Pṛthā, and in the praiseworthy action, which is used in the same way as the words of the Lord.",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"It is said that in sacrifice, in austerities and in charity the position is called sad.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,"O son of Pṛthā, whatever is said to be untruthful and performed without faith, O son of Pṛthā, that is not true in this world, which is not in this world. .",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
