,Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
0,"The Supreme Personality of Godhead said: The Supreme Personality of Godhead, who knows the Vedas, is the one whose roots are the roots of the āśramas, the branches and the lower branches of the Vedas.  ॥",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"The corals of sensual pleasures, which have grown in the modes of material nature, extend the roots of the Vedas, and the roots of the Vedas, which are continuously related to their activities.  ॥",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"I have no form in this world, nor do I perceive the end, nor do I have the beginning, nor do I establish this Aśvattha tree with a strong weapon of unattachment.",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,Then the ancients have extended their activities to the first person who has extended his activities in the beginning of the universe.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4,"They are free from all material desires, deluded, deluded by attachment, and are free from all desires.  ॥",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"The sun, the moon, the fire or the fire does not shine. That which is not resumed by going or returning is My supreme abode.  ॥",0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,"The eternal living entity, who is the living entity in the world of living entities, attracts the six senses, the mind and the mind.  ॥",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,"When the Lord takes the body of the Supreme Personality of Godhead, the Supreme Personality of Godhead takes away His body, and the air becomes the source of all knowledge.  ॥",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"The ears, the eyes, the touch, the taste, the sense of smell, the mind and the mind are present in the sense of sense gratification. .",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9,Those who are deluded by the eyes of knowledge do not see whether it is moving or standing or enjoying the modes of nature .,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,The yogīs who strive to see Him in the Self and who are unable to see Him do not see Him in the Self. .,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
11,"The effulgence of the sun-god, the sun-god, shines forth, and whatever the moon is in the fire, and whatever the fire is in the fire, know that it is mine.  ॥",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,I enter the cow and sustain all living entities with the power of myself and nourish all the four herbs.  ॥,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,"I am the Vaisvanara, the living entity, who takes refuge in the body of all living beings.  ॥",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"I am the Supreme Personality of Godhead, who is in the heart of everyone, and I am the source of all knowledge and knowledge.  ॥",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"The two elements of the universe are the syllables, the imperishable, the imperishable, the imperishable, the imperishable, the unchanging and the imperishable.  ॥",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,"The Supreme Personality of Godhead, who is the Supreme Personality of Godhead, is called the Supreme Soul, the Supreme Soul. .",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,"Because I am transcendental to the imperishable, I am the Supreme Personality of Godhead in this world and in the Vedas.  ॥",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"He who knows Me in this way is not deluded by the Supreme Personality of Godhead, O descendant of Bharata, who knows Me in all respects. .",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,"O sinless one, O sinless one, I have thus explained this most secret scripture, O descendant of Bharata.  ॥",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
