,Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
0,"Arjuna said: O son of Janārdana, if you think of your actions, O son of January, why do you engage me in this terrible act?   ",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,You seem to be confused by my words with your confused words. Please tell me one thing that I shall attain to the welfare of all.   ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"O sinless one, I have already described to you in this world, O sinless one, by the practice of yogīs, by the practice of yogīs.   ",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,"A person who does not undertake his actions does not perform any activity, nor does he attain perfection by renunciation. .",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,No one ever remains for a moment and does not perform any activity. Everyone is under the control of all the modes of nature by nature.   ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,He who controls the senses of action and reminds us of the senses and remembers the objects of the senses and is deluded by the senses of the senses is called a false conductor.   ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6,"O Arjuna, a person who is unattached to the senses of action and the senses of action, who is engaged in controlling the senses by the mind, is superior.   ",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"You should perform your duty as a fixed action and you are better than inaction. Even if you have a journey of your body, you will not be known for your inaction.   ",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,"O son of Kunti, this world is bound by action for the sake of performing sacrifices, O son of Kunti. .",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Having created the living entities with the sacrifices of the living entities the creator of the universe said to him .,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,By thinking of the demigods may those devatas feel you and you will attain the highest good by feeling for each other. .,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,He who enjoys the pleasures of the demigods will give you the pleasures he desires for those who are devoted to the sacrifice and who enjoys what they have given them   ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Those who eat the remains of the sacrifice are freed from all sins and enjoy the sins of the sinners who cook for their own sake   ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,"From food comes all living entities and from the rain comes food. From the sacrifice, the rain is the source of all activities.   ",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Know that action is the source of the Absolute Truth and is the source of all knowledge.   ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"O son of Pṛthā, whoever does not follow the wheel in this world in this world, O son of Pṛthā, will live in vain and enjoy the senses.   ",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,A human being who is satisfied with himself and who is satisfied with himself has no need of his duties .,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,There is no need for him in this world and no one in all living beings in this world   ,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
