,Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
0,"Arjuna said: O Keśava, I wish to know this knowledge and the knower of the field, the knower of the field, the Supreme Personality of Godhead, the Supreme Personality of Godhead.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"The Supreme Personality of Godhead, O son of Kunti, is called the field of the Supreme Personality of Godhead. He who knows this is said to be the knower of the field.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"O descendant of Bharata, know Me as the knower of the field and the knowledge of the fields and the fields.  ॥",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"Now please hear from me in brief that the field is the source of all that is in the form of whatever it is, and whatever it is. .",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"The Ṛṣis sang in various ways, and separately from various Vedic mantras, and by the Vedic mantras, the Vedas and the Vedic mantras were determined.  ॥",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"The great living beings are the ego, the intellect, the unmanifest, the ten senses, the five senses, and the five senses are perceivable by the senses.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,"Desire, hatred, happiness, pain, aggregation, consciousness, patience, this field are described in brief in brief.",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,"Unmanifest, arrogance, non-violence, forbearance, simplicity, worship of the ācārya, purity, steadfastness and self-control.",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"The senses of sense gratification are the sources of detachment, egoism, birth, death, old age, disease, pain and evils.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"Attachment to his sons, wives, houses, etc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,By the practice of exclusive devotion to Me is undisturbed by me and in the assembly of men who served them in a secluded place,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,The eternity of spiritual knowledge is the vision of the meaning of knowledge of the truth and this knowledge is said to be ignorance,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,"I shall now explain to you the knowledge that I shall explain to you, knowing the nectar of the Supreme Personality of Godhead, the eternal Supreme Absolute Truth, the Supreme Absolute Truth, and the Supreme Absolute Truth.  ॥",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"His hands, feet, eyes, heads, faces and faces were covered with all kinds of scents, and he was covered with all kinds of scents.  ॥",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,It is the reflection of all the senses and is devoid of all the senses and is not attached to the body and is devoid of the modes of nature  ॥,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Because of its subtlety the moving and non-moving beings are moving and unmoving and that which is not known or near or near  ॥,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,It is undivided and separated from all living entities as if they were separated from all living beings. .,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17,"The light of all the lights is called the supreme light, and the knowledge of all knowledge is perceivable in the heart.  ॥",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"I have thus understood the field, knowledge, and knowable in detail. .",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,"Know that both nature, the Supreme Personality of Godhead, the various elements, the modes of nature and the modes of nature, the origin and the modes of nature.  ॥",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
